index,parent_index,depth,hash,name,in_swit,state,tx,ty,tz,bbox_dx,bbox_dy,bbox_dz
0,,0,0xE54047D5,al_veh_boat_destroyer,0,static,0.0000,0.0000,0.0000,0.020,0.020,0.020
1,0,1,0x6BCB7C64,,1,break_piece,0.0000,0.0000,0.0000,27.697,34.763,156.190
2,1,2,0x5F2AF8BC,,0,break_piece,-0.0000,19.7277,46.0496,0.020,0.020,0.020
3,2,3,0x8E2D0DCB,,1,intact,0.0000,0.0000,0.0000,0.020,0.020,0.020
4,3,4,0x4DD964FC,,0,intact,0.0000,0.0000,0.0000,2.465,1.780,2.465
5,4,5,0xE4EE3C3B,,0,intact,-0.0000,1.4732,-0.0049,1.397,1.550,2.351
104,5,6,0x47BB623D,,0,intact,-0.2219,-0.4874,1.1373,0.020,0.020,0.020
105,5,6,0x5DBDC376,,0,intact,0.2620,-0.4874,1.1373,0.020,0.020,0.020
106,5,6,0x3FBFD2D3,,0,intact,-0.2219,-0.2327,1.1373,0.020,0.020,0.020
107,5,6,0x65C24D3C,,0,intact,0.2620,-0.2327,1.1373,0.020,0.020,0.020
108,5,6,0xDFC54BE1,,0,intact,-0.2219,0.0390,1.1373,0.020,0.020,0.020
109,5,6,0xC5C7618A,,0,intact,0.2620,0.0390,1.1373,0.020,0.020,0.020
110,5,6,0xE7C9D5A7,,0,intact,0.2620,0.2873,1.1373,0.020,0.020,0.020
111,5,6,0x3DCC9BA0,,0,intact,-0.2219,0.2873,1.1373,0.020,0.020,0.020
103,4,5,0x4B2884C4,hp_seat_samfm,0,intact,0.0000,-0.7277,-1.7812,0.020,0.020,0.020
6,2,3,0xFE82A0F5,,1,break_piece,0.0000,0.0000,0.0000,2.465,1.790,2.465
7,6,4,0x8128869B,,1,break_piece,1.5925,0.9088,0.0000,0.481,1.097,0.825
8,6,4,0xE72B65C4,,1,break_piece,0.7512,2.9736,0.0828,0.682,1.063,2.080
9,6,4,0x012DCD49,,1,break_piece,-0.1674,1.6283,0.0828,1.311,1.525,2.275
112,6,4,0x56772CDD,,0,break_piece,0.4427,0.5464,0.0108,0.020,0.020,0.020
113,6,4,0x8168D4A5,,0,break_piece,0.4427,0.5464,0.0108,0.020,0.020,0.020
114,6,4,0xF7B922DB,,0,break_piece,0.4427,1.9858,0.6635,0.020,0.020,0.020
10,1,2,0x57409E23,,0,break_piece,-8.6839,24.5953,-22.1570,0.020,0.020,0.020
11,10,3,0x0401E24A,,1,intact,0.0000,0.0000,0.0000,0.020,0.020,0.020
12,11,4,0xC596628A,,0,intact,0.0000,0.0000,0.0000,0.020,0.020,0.020
13,12,5,0x45EF0A63,,0,intact,-0.0000,0.0000,-0.0000,2.465,1.780,2.465
14,13,6,0xE655CEC4,,0,intact,-0.0000,1.4732,-0.0049,1.397,1.550,2.351
116,14,7,0xD30ACC8E,,0,intact,-0.2219,-0.4874,1.1373,0.020,0.020,0.020
117,14,7,0xBD2F7AC5,,0,intact,0.2620,-0.4874,1.1373,0.020,0.020,0.020
118,14,7,0xD32D5ED0,,0,intact,-0.2219,-0.2327,1.1373,0.020,0.020,0.020
119,14,7,0xBD2AFD97,,0,intact,0.2620,-0.2327,1.1373,0.020,0.020,0.020
120,14,7,0x5B2824BA,,0,intact,-0.2219,0.0390,1.1373,0.020,0.020,0.020
121,14,7,0x3525AA51,,0,intact,0.2620,0.0390,1.1373,0.020,0.020,0.020
122,14,7,0x3B23752C,,0,intact,0.2620,0.2873,1.1373,0.020,0.020,0.020
123,14,7,0xD5209603,,0,intact,-0.2219,0.2873,1.1373,0.020,0.020,0.020
115,13,6,0x6315BA1B,hp_seat_samrr,0,intact,0.0000,-0.7277,-1.7812,0.020,0.020,0.020
15,10,3,0x0557EA14,,1,break_piece,0.0000,0.0000,0.0000,2.465,1.790,2.465
16,15,4,0xA73F665A,,1,break_piece,-1.4658,0.9088,0.0000,0.481,1.097,0.825
17,15,4,0x0946BC65,,1,break_piece,-0.9619,2.6388,-0.0952,0.682,1.063,2.080
18,15,4,0x9F43D6F0,,1,break_piece,0.1674,1.6283,-0.0828,1.311,1.525,2.275
124,15,4,0x3E4A97E8,,0,break_piece,-0.4427,-0.0761,0.1558,0.020,0.020,0.020
125,15,4,0x7CA21EC2,,0,break_piece,-0.4427,-0.2504,0.3221,0.020,0.020,0.020
126,15,4,0x2FCD2D1A,,0,break_piece,-0.4427,1.9858,-0.6635,0.020,0.020,0.020
19,1,2,0x2E87510F,,0,break_piece,0.0000,0.0000,0.0000,0.020,0.020,0.020
20,19,3,0x68B30870,,1,break_piece,0.0000,0.0000,0.0000,13.772,8.966,11.062
21,20,4,0xEC967E2E,,1,break_piece,-1.0813,22.0208,13.3746,8.829,1.544,3.330
22,20,4,0x4E9DD439,,1,break_piece,1.1568,22.0208,8.3457,7.478,1.838,2.466
23,20,4,0x749BD174,,1,break_piece,-0.6057,22.0208,6.5285,6.062,1.320,2.392
128,20,4,0xAF0E4774,,0,break_piece,0.0000,18.7432,10.0822,0.020,0.020,0.020
129,20,4,0xAA792286,,0,break_piece,1.0671,14.8876,10.0822,0.020,0.020,0.020
130,20,4,0x2C356286,,0,break_piece,0.0000,18.7432,10.0822,0.020,0.020,0.020
127,19,3,0x9665CB9E,,1,intact,0.0000,0.0000,0.0000,12.426,6.009,11.062
24,1,2,0x4AB45948,,0,break_piece,0.0000,14.0000,56.9929,0.020,0.020,0.020
25,24,3,0xE55AA77F,,1,intact,0.0000,0.0000,0.0000,0.020,0.020,0.020
26,25,4,0xFBADA738,,0,intact,0.0000,0.0000,0.0000,4.006,4.056,4.364
27,26,5,0xABA13ED1,,0,intact,-0.0000,3.0301,0.6864,0.993,1.509,7.359
132,27,6,0x03157B3D,,0,intact,0.0000,0.0000,6.7123,0.020,0.020,0.020
131,26,5,0xC7CE8761,hp_seat_cannon,0,intact,0.0000,0.0000,-2.9500,0.020,0.020,0.020
28,24,3,0xEBDB09D1,,1,break_piece,0.0000,0.0000,0.0000,3.888,4.007,4.352
29,28,4,0x7A49ABB8,,1,break_piece,-0.2481,3.2114,3.0512,1.613,1.883,7.270
30,28,4,0x0446B35F,,1,break_piece,-1.8309,2.7820,-0.4738,1.406,3.195,2.700
31,28,4,0x2244A402,,1,break_piece,1.5278,4.3988,-1.4377,1.944,1.810,2.720
32,1,2,0x2BA1E98E,,0,break_piece,7.7328,26.5652,-21.6596,0.020,0.020,0.020
33,32,3,0x5BBF7281,,1,intact,0.0000,0.0000,0.0000,0.020,0.020,0.020
34,33,4,0x07ABC92A,,0,intact,0.0000,0.0000,0.0000,0.020,0.020,0.020
35,34,5,0x0F3F085E,,0,intact,-0.0000,0.0000,0.0000,2.022,3.960,2.891
36,35,6,0x76C1AF3B,,0,intact,-0.0000,1.6501,-0.0000,0.885,2.942,1.448
37,36,7,0x2500937E,,0,intact,-0.0000,0.0904,1.2395,0.338,0.355,1.531
134,36,7,0x823CF5E6,,0,intact,-0.0000,0.1822,1.7974,0.020,0.020,0.020
133,35,6,0x078E8D36,hp_seat_ciwsrl,0,intact,-0.0000,0.0000,-0.0000,0.020,0.020,0.020
38,32,3,0x8F31B507,,1,break_piece,0.0000,0.0000,0.0000,2.210,2.980,2.694
39,38,4,0xB14CB8F7,,1,break_piece,0.0003,3.8206,0.3417,0.885,1.381,0.969
135,38,4,0x51E317D3,,0,break_piece,0.0003,0.1354,-0.0001,0.020,0.020,0.020
136,38,4,0x671BC703,,0,break_piece,0.0003,-0.0964,-0.0001,0.020,0.020,0.020
137,38,4,0xD2DF98DD,,0,break_piece,0.0003,1.7568,-0.0001,0.020,0.020,0.020
40,1,2,0xB2BD1ECD,,0,break_piece,0.0000,0.0000,0.0000,0.020,0.020,0.020
41,40,3,0xDF32860E,,1,break_piece,0.0000,0.0000,0.0000,9.114,11.683,9.114
42,41,4,0x53FEC18B,,1,break_piece,0.2120,40.6304,29.3802,2.235,5.348,2.172
43,41,4,0xF1FBE8AE,,1,break_piece,0.2120,37.6780,29.3802,7.228,6.374,6.157
139,41,4,0xD7997915,,0,break_piece,0.0000,26.7303,29.1399,0.020,0.020,0.020
140,41,4,0xA4096523,,0,break_piece,0.0000,31.2720,29.1399,0.020,0.020,0.020
141,41,4,0x9DFC1F74,,0,break_piece,0.0000,35.1062,29.1399,0.020,0.020,0.020
142,41,4,0x2D959D64,,0,break_piece,0.0000,35.1062,29.1399,0.020,0.020,0.020
138,40,3,0xD58A8418,,1,intact,0.0000,0.0000,0.0000,9.114,19.838,9.114
44,1,2,0xF3DD91E6,,0,break_piece,0.0000,0.0000,0.0000,0.020,0.020,0.020
45,44,3,0x059B0B3F,,1,break_piece,0.0000,0.0000,0.0000,11.629,8.841,12.111
46,45,4,0x452F628E,,1,break_piece,0.0000,37.4232,-11.8375,6.566,2.070,6.548
47,45,4,0x273171EB,,1,break_piece,0.0000,41.2655,-11.8375,4.304,4.888,4.384
48,45,4,0x253E3AB8,,1,break_piece,-3.7774,30.2318,-7.7561,5.137,3.015,4.237
49,45,4,0x4F40BB6D,,1,break_piece,1.3413,34.6209,-8.1408,5.366,3.980,2.733
50,45,4,0xCD393302,,1,break_piece,-2.5314,34.5668,-14.3992,5.626,3.985,5.800
51,45,4,0xAF3B425F,,1,break_piece,4.5318,32.5913,-11.7719,1.423,7.661,3.765
143,45,4,0xD29A080D,,0,break_piece,0.0000,25.3268,-11.9225,0.020,0.020,0.020
144,45,4,0xDA9591BB,,0,break_piece,0.0000,26.4933,-11.9225,0.020,0.020,0.020
145,45,4,0x825E55A5,,0,break_piece,0.0000,32.9491,-11.9225,0.020,0.020,0.020
146,44,3,0x7B6FD709,,1,intact,0.0000,0.0000,0.0000,11.629,21.081,11.629
52,1,2,0x591CF230,,0,break_piece,-9.1321,23.7766,2.0486,0.020,0.020,0.020
53,52,3,0xBD817179,,1,break_piece,0.0000,0.0000,0.0000,0.020,0.020,0.020
54,53,4,0x38839610,,1,break_piece,0.0017,-0.0004,-1.1940,1.475,1.399,2.263
55,53,4,0x2285B205,,1,break_piece,0.0017,-0.0004,1.1350,1.475,1.399,2.263
147,52,3,0x64F6AF17,,1,intact,0.0000,0.0000,0.0000,1.552,1.570,4.590
56,1,2,0x2D057D27,,0,break_piece,8.4286,26.6756,24.3079,0.020,0.020,0.020
57,56,3,0x287D8468,,1,break_piece,0.0000,0.0000,0.0000,0.020,0.020,0.020
58,57,4,0x39FD1470,,1,break_piece,-0.0495,0.0000,-4.6387,1.475,1.399,2.263
59,57,4,0xBBF11523,,1,break_piece,-0.0495,0.0000,-2.3123,1.475,1.399,2.263
60,57,4,0x99EEA106,,1,break_piece,-0.0495,0.0000,-0.0086,1.475,1.399,2.263
61,57,4,0x1BF62971,,1,break_piece,-0.0495,0.0000,2.2983,1.475,1.399,2.263
62,57,4,0xA1F32ACC,,1,break_piece,-0.0495,0.0000,4.6110,1.475,1.399,2.263
148,56,3,0x5E34F606,,1,intact,0.0000,0.0000,0.0000,1.495,1.604,11.511
63,1,2,0xFC7D34FA,,0,break_piece,11.8321,26.6756,38.2897,0.020,0.020,0.020
64,63,3,0xA422FC03,,1,break_piece,0.0000,0.0000,0.0000,0.020,0.020,0.020
65,64,4,0x258F614B,,1,break_piece,0.0000,0.0000,0.0000,1.475,1.399,2.263
149,63,3,0xFA6D5335,,1,intact,0.0000,0.0000,0.0000,1.515,1.604,2.414
66,1,2,0x56B0F619,,0,break_piece,0.0000,0.0000,0.0000,0.020,0.020,0.020
67,66,3,0x4DF1178A,,1,break_piece,0.0000,0.0000,0.0000,16.013,5.854,27.077
68,67,4,0x2A0C80DD,,1,break_piece,-6.0516,29.4830,36.6281,5.840,3.000,13.511
69,67,4,0x400A64E8,,1,break_piece,0.0000,28.6942,41.3065,6.115,1.052,5.988
70,67,4,0xCA076C8F,,1,break_piece,5.8752,29.4124,42.6733,3.980,3.089,6.819
71,67,4,0xA804F872,,1,break_piece,5.8925,28.9447,36.2561,6.093,2.568,5.402
150,67,4,0x9E974536,,0,break_piece,-1.2913,27.2485,37.0264,0.020,0.020,0.020
151,67,4,0xAEF2900C,,0,break_piece,-1.2913,26.0064,37.0264,0.020,0.020,0.020
152,67,4,0x99DB55A0,,0,break_piece,-1.2913,27.2485,37.0264,0.020,0.020,0.020
72,66,3,0xA1FD703C,,1,intact,0.0000,0.0000,0.0000,16.013,5.808,24.124
73,72,4,0x333AD6A7,,0,intact,4.4037,29.1007,37.9143,0.020,0.020,0.020
74,73,5,0xF1F8EA86,,1,intact,0.0000,0.0000,0.0000,0.020,0.020,0.020
75,74,6,0x34EBF817,,0,intact,0.0000,0.0000,0.0000,2.022,3.960,2.891
76,75,7,0xFAF4B31A,,0,intact,0.0000,1.6501,0.0000,0.885,2.942,1.448
77,76,8,0x4AAD8337,,0,intact,-0.0000,0.0904,1.2395,0.338,0.355,1.531
154,76,8,0xA85C6E87,,0,intact,-0.0000,0.1822,1.7974,0.020,0.020,0.020
153,75,7,0x2CEBCB0F,hp_seat_ciwsfm,0,intact,0.0000,0.0000,0.0000,0.020,0.020,0.020
78,73,5,0x117330E8,,1,break_piece,0.0000,0.0000,0.0000,1.849,2.980,2.694
79,78,6,0xB121E74C,,1,break_piece,-0.0003,3.8249,-0.2518,0.885,1.381,0.969
155,78,6,0x880D25DC,,0,break_piece,-0.0003,-1.5352,0.0001,0.020,0.020,0.020
156,78,6,0x631C0CEE,,0,break_piece,-0.0003,-0.8741,0.0001,0.020,0.020,0.020
157,78,6,0xD8B801DE,,0,break_piece,-0.0003,1.7568,0.0001,0.020,0.020,0.020
80,1,2,0xF50BF5F7,bone_propeller_roll,0,break_piece,-0.0165,-1.2265,-63.3908,4.520,4.244,0.890
81,1,2,0x3A2D1198,bone_rudder_yaw,0,break_piece,0.0000,1.1627,-71.2158,0.473,3.758,1.694
82,1,2,0x899E3B08,,0,break_piece,0.0000,17.3509,-2.0279,0.020,0.020,0.020
83,1,2,0x939C0C2F,,0,break_piece,0.0000,17.7336,-13.9613,0.020,0.020,0.020
84,1,2,0x5AD11902,,0,break_piece,5.3273,8.2700,-20.8147,0.020,0.020,0.020
85,1,2,0x3CD3285F,,0,break_piece,-7.9553,8.2600,-46.4771,0.020,0.020,0.020
