wad,row_index,asset_hash,name,name_candidates,candidate_count,type_id,type_name,type_hash,block_index,block_path,sub_offset,is_primary,secondary_ref,secondary_name
vz.wad,0,0x64BE9FC6,,,0,28,path,0xBCFE6314,3185,blocks\VZ\resident_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,1,0x35383CCD,docks_tiredock,docks_tiredock,1,19,model,0x5B724250,2976,blocks\VZ\c39998_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,2,0xEF49CC46,city_bld_storefrontwindows02_sm,city_bld_storefrontwindows02_sm,1,27,texture,0xF011157A,1239,blocks\VZ\c30606_P000_Q3.block,3857,0,0x156B216F,
vz.wad,3,0x07216AAB,_bold_font,_bold_font,1,23,scaleformgfx,0xFE0E8320,3185,blocks\VZ\resident_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,4,0x373EFDA2,all_pgz95_driverdoor_actionhijack_getin_section03_fb,all_pgz95_driverdoor_actionhijack_getin_section03_fb,1,16,animation,0x18166555,3549,blocks\VZ\hijack_pgz95_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,5,0x556BB6E7,global_att_watertowera_parts_dm,global_att_watertowera_parts_dm,1,27,texture,0xF011157A,1318,blocks\VZ\c30708_P000_Q3.block,3977,0,0x175121C2,
vz.wad,6,0xAD77A788,island_bld_fortress01_floora01_nm,island_bld_fortress01_floora01_nm,1,27,texture,0xF011157A,1312,blocks\VZ\c30701_P000_Q3.block,4190,0,0x18482419,
vz.wad,7,0x0CB49853,gr_hum_soldier_a_uba_nm,gr_hum_soldier_a_uba_nm,1,27,texture,0xF011157A,1567,blocks\VZ\c31034_P000_Q3.block,4265,0,0x16022A5E,
vz.wad,8,0xB3B64073,Vz_State_ChiJob010_04,Vz_State_ChiJob010_04;vz_state_chijob010_04,2,9,layer,0xE6B81A54,524,blocks\VZ\vz_state_chijob010_04_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,9,0xB921DEFD,,,0,16,animation,0x18166555,3185,blocks\VZ\resident_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,10,0xCD7AE2E1,,,0,16,animation,0x18166555,3335,blocks\VZ\vehiclenameanimgroup_ka29b_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,11,0x389678CF,,,0,19,model,0x5B724250,1177,blocks\VZ\c30518_P000_Q3.block,3810,0,0xFFFFFFFF,
vz.wad,12,0x1C7C6886,,,0,16,animation,0x18166555,3371,blocks\VZ\vehiclenameanimgroup_huey_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,13,0xB1595133,,,0,16,animation,0x18166555,3142,blocks\VZ\vehiclenameanimgroup_mh53j_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,14,0xA1CB2576,,,0,28,path,0xBCFE6314,3185,blocks\VZ\resident_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,15,0x8074E0EF,,,0,12,scrub,0x600B904E,786,blocks\VZ\c30052_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,16,0x91D24BDE,spiel_minorcontract_oil21_mattias,spiel_minorcontract_oil21_mattias,1,35,script,0x42498680,3162,blocks\VZ\oil021_con_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,17,0xBF7825AC,,,0,30,lineregion,0x6310807F,3185,blocks\VZ\resident_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,18,0xA5CFB95A,,,0,28,path,0xBCFE6314,3185,blocks\VZ\resident_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,19,0xF85E8BBE,groutpost_bld_tentlargetarp02_cover_ruin_dm,groutpost_bld_tentlargetarp02_cover_ruin_dm,1,27,texture,0xF011157A,1184,blocks\VZ\c30526_P000_Q3.block,4284,0,0x16E82408,
vz.wad,20,0x44CC53D9,,,0,28,path,0xBCFE6314,3185,blocks\VZ\resident_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,21,0xCB5293FD,shanty_bld_shack03,shanty_bld_shack03,1,19,model,0x5B724250,1291,blocks\VZ\c30667_P000_Q3.block,4229,0,0xFFFFFFFF,
vz.wad,22,0x4CF6A869,pmc_veh_car_offroad_buggy_wheel_nm,pmc_veh_car_offroad_buggy_wheel_nm,1,27,texture,0xF011157A,3082,blocks\VZ\pmc_veh_car_offroad_buggy_P000_Q3.block,5133,0,0x1FF52A2E,
vz.wad,23,0x0E003252,vz_state_alljob005_05_defenses_tinygeometry_0x00143a15,vz_state_alljob005_05_defenses_tinygeometry_0x00143a15,1,27,texture,0xF011157A,2773,blocks\VZ\c34182_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,24,0x1582EB79,,,0,28,path,0xBCFE6314,3185,blocks\VZ\resident_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,25,0x1A2F151C,global_env_bushlarge02,global_env_bushlarge02,1,19,model,0x5B724250,956,blocks\VZ\c30260_P000_Q3.block,4224,0,0xFFFFFFFF,
vz.wad,26,0xD4C1DD7F,,,0,16,animation,0x18166555,3185,blocks\VZ\resident_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,27,0x87289583,pmc_hum_jennifer_v2_ub,pmc_hum_jennifer_v2_ub,1,27,texture,0xF011157A,2574,blocks\VZ\c33233_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,28,0x15390CDE,,,0,28,path,0xBCFE6314,3185,blocks\VZ\resident_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,29,0xF18D7AD4,civ_veh_car_r90_taxi_wheel_sm,civ_veh_car_r90_taxi_wheel_sm,1,27,texture,0xF011157A,3431,blocks\VZ\civ_veh_car_r90_taxi_P000_Q3.block,5268,0,0xFFFFFFFF,
vz.wad,30,0x204B8A52,PMC03_Contract_Briefing_Yes_Starter-Chris,PMC03_Contract_Briefing_Yes_Starter-Chris,1,16,animation,0x18166555,3226,blocks\VZ\pmc003_contract_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,31,0x924DD5AB,reticle_sniper,reticle_sniper,1,27,texture,0xF011157A,2658,blocks\VZ\c33352_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,32,0x102E7D67,vz_maracaibo_tiny_tinygeometry_tgr30_tgc32_0x00144e6f,vz_maracaibo_tiny_tinygeometry_tgr30_tgc32_0x00144e6f,1,19,model,0x5B724250,1352,blocks\VZ\c30748_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,33,0x4F9E17C2,caracas_bld_cathedralstatue_sm,caracas_bld_cathedralstatue_sm,1,27,texture,0xF011157A,2053,blocks\VZ\c32039_P000_Q3.block,4488,0,0x19F2268E,
vz.wad,34,0xD850910E,spiel_job_all06_mattias,spiel_job_all06_mattias,1,35,script,0x42498680,3227,blocks\VZ\all006_job_P000_Q3.block,65535,1,0xFFFFFFFF,
vz.wad,35,0x8DE46BB7,civ_hum_beachfemale_a_head,civ_hum_beachfemale_a_head,1,27,texture,0xF011157A,2110,blocks\VZ\c32143_P000_Q3.block,4587,0,0x1B2AFFFF,
vz.wad,36,0x7906957F,groutpost_bld_tentsmalltarp03_ruin_dm,groutpost_bld_tentsmalltarp03_ruin_dm,1,27,texture,0xF011157A,1182,blocks\VZ\c30523_P000_Q3.block,4280,0,0x1621224A,
vz.wad,37,0x66A2EADB,pmc_hum_mechanic_hair_sm,pmc_hum_mechanic_hair_sm,1,27,texture,0xF011157A,2579,blocks\VZ\c33238_P000_Q3.block,4925,0,0x1E2EFFFF,
vz.wad,38,0x540A67B8,caracas_bld_historical02_door01_ruin_nm,caracas_bld_historical02_door01_ruin_nm,1,27,texture,0xF011157A,767,blocks\VZ\c30021_P000_Q3.block,4109,0,0x18572A94,
vz.wad,39,0xE002D50A,,,0,30,lineregion,0x6310807F,3185,blocks\VZ\resident_P000_Q3.block,65535,1,0xFFFFFFFF,
