asset_hash,name,provenance,source,types
0x001616F7,vz_state_alljob005_01_destroyed_tinygeometry_tgr12_tgc06_0x001439f9,block-stem,ps3-VZ.WAD,model
0x0045B675,vz_state_chijob002_01_pristine_tinygeometry_tgr09_tgc20_0x00143af2,block-stem,ps3-VZ.WAD,model
0x00B453DB,vz_state_chijob006_c_destroyed_tinygeometry_tgr32_tgc22_0x00143b5a,block-stem,ps3-VZ.WAD,model
0x0136E78A,vz_state_alljob005_01_defenses_tinygeometry_tgr12_tgc06_0x001439f6,block-stem,ps3-VZ.WAD,model
0x019EDBFE,global_billboard02,bare,aset_model_names.json,model
0x02294AA0,vz_state_alljob001_03_captured_tinygeometry_tgr29_tgc14_0x001439ca,block-stem,ps3-VZ.WAD,model
0x027DAD98,vz_state_chicon002_depot_pristine_tinygeometry_tgr27_tgc30_0x00143aa3,block-stem,ps3-VZ.WAD,model
0x048A1170,vz_state_chijob006_d_defenses_tinygeometry_tgr29_tgc23_0x00143b63,block-stem,ps3-VZ.WAD,model
0x04A3B829,vz_state_chicon002_hq_destroyed_tinygeometry_tgr27_tgc32_0x00143aa8,block-stem,ps3-VZ.WAD,model
0x04D6D0D0,vz_state_oiljob012_03_pristine_tinygeometry_tgr19_tgc23_0x00143d0c,block-stem,ps3-VZ.WAD,model
0x04ED3522,mountain_bld_bunkerdestroyed,bare,aset_model_names.json,model
0x05099066,vz_state_gurjob002_02_pristine_tinygeometry_tgr07_tgc29_0x00143fd4,block-stem,ps3-VZ.WAD,model
0x0527331F,vz_state_alljob001_04_defenses_tinygeometry_tgr21_tgc13_0x001439db,block-stem,ps3-VZ.WAD,model
0x0630E713,vz_state_mer_commercialpristine_tinygeometry_tgr11_tgc29_0x00143c92,block-stem,ps3-VZ.WAD,model
0x06AD8DE0,vz_state_chicon002_bridge_pristine_tinygeometry_tgr23_tgc30_0x00143a9b,block-stem,ps3-VZ.WAD,model
0x09A2C7C0,vz_state_pirjob012_09_pristine_tinygeometry_tgr20_tgc23_0x00143d88,block-stem,ps3-VZ.WAD,model
0x09B38DDF,vz_state_gua_upperclass_pristine_tinygeometry_tgr05_tgc13_0x00144063,block-stem,ps3-VZ.WAD,model
0x09ECC529,vz_state_gua_upperclass_pristine_tinygeometry_tgr06_tgc13_0x00144064,block-stem,ps3-VZ.WAD,model
0x0B1A2A57,vz_state_chicon005_a_pristine_tinygeometry_tgr13_tgc15_0x00143aaf,block-stem,ps3-VZ.WAD,model
0x0BB034DD,global_billboard05,bare,aset_model_names.json,model
0x0BDDDC88,vz_state_chijob001_02_staging_tinygeometry_tgr24_tgc10_0x00143adf,block-stem,ps3-VZ.WAD,model
0x0BEF7E7B,city_bld_storefronte,bare,aset_model_names.json,model
