asset_hash,name,name_candidates,candidate_count,resolved,types,wads,aset_rows,block_count,example_block
0x00043D4F,,,0,0,path,vz.wad,1,1,blocks\VZ\resident_P000_Q3.block
0x0007BF84,,,0,0,path,vz.wad,1,1,blocks\VZ\resident_P000_Q3.block
0x000A59E4,,,0,0,texture,shell.wad,1,1,blocks\Shell\scaleform_shell_P000_Q3.block
0x000BF11E,residential_bld_corner110x126_ruin,residential_bld_corner110x126_ruin,1,1,path,vz.wad,1,1,blocks\VZ\resident_P000_Q3.block
0x000C9002,global_att_laserrangefinder_sm,global_att_laserrangefinder_sm,1,1,texture,vz.wad,1,1,blocks\VZ\c32318_P000_Q3.block
0x000EE46F,,,0,0,scrub,vz.wad,1,1,blocks\VZ\c30579_P000_Q3.block
0x000FCC62,commercial_bld_firestation_ruin_lod,commercial_bld_firestation_ruin_lod,1,1,texture,vz.wad,1,1,blocks\VZ\commercial_bld_firestation_P000_Q3.block
0x00108D8E,civ_hum_casualfemale_lb_d_nm,civ_hum_casualfemale_lb_d_nm,1,1,texture,vz.wad,1,1,blocks\VZ\c32147_P000_Q3.block
0x00109310,,,0,0,path,vz.wad,1,1,blocks\VZ\resident_P000_Q3.block
0x00140A1E,race_greenlight,race_greenlight,1,1,texture,vz.wad,1,1,blocks\VZ\c33335_P000_Q3.block
0x001577A0,gr_hum_heavy_a_ub_sm,gr_hum_heavy_a_ub_sm,1,1,texture,vz.wad,1,1,blocks\VZ\c31034_P000_Q3.block
0x0015DF12,civ_hum_casualfemale_ub_c,civ_hum_casualfemale_ub_c,1,1,texture,vz.wad,1,1,blocks\VZ\c32148_P000_Q3.block
0x001616F7,vz_state_alljob005_01_destroyed_tinygeometry_tgr12_tgc06_0x001439f9,vz_state_alljob005_01_destroyed_tinygeometry_tgr12_tgc06_0x001439f9,1,1,model,vz.wad,1,1,blocks\VZ\c34170_P000_Q3.block
0x0017F4EC,aloutpost_bld_barracks03_wood_nm,aloutpost_bld_barracks03_wood_nm,1,1,texture,vz.wad,1,1,blocks\VZ\aloutpost_bld_barracks03_P000_Q3.block
0x00193C7D,shanty_bld_housegroup01_wall10_sm,shanty_bld_housegroup01_wall10_sm,1,1,texture,vz.wad,1,1,blocks\VZ\c30251_P000_Q3.block
0x001CAF7B,vzoutpost_bld_takeover03_ch_nm,vzoutpost_bld_takeover03_ch_nm,1,1,texture,vz.wad,1,1,blocks\VZ\c34537_P000_Q3.block
0x001F797D,maracaibo_bridge_bracket,maracaibo_bridge_bracket,1,1,texture,vz.wad,1,1,blocks\VZ\c30114_P000_Q3.block
0x00244AC9,cartel_hum_officer_heada_sm,cartel_hum_officer_heada_sm,1,1,texture,vz.wad,1,1,blocks\VZ\c32046_P000_Q3.block
0x00290C52,MecCon001_briefing,MecCon001_briefing,1,1,scaleformgfx,vz.wad,1,1,blocks\VZ\mec001_contract_P000_Q3.block
0x002AF235,city_bld_apartment01_roof_ruin_nm,city_bld_apartment01_roof_ruin_nm,1,1,texture,vz.wad,1,1,blocks\VZ\c30289_P000_Q3.block
0x002EC49A,civ_veh_truck_thunder_nm,civ_veh_truck_thunder_nm,1,1,texture,vz.wad,1,1,blocks\VZ\civ_veh_truck_thunder_P000_Q3.block
