asset_hash,types,block_paths
0x00043D4F,path,blocks\VZ\resident_P000_Q3.block
0x0007BF84,path,blocks\VZ\resident_P000_Q3.block
0x000A59E4,texture,blocks\Shell\scaleform_shell_P000_Q3.block
0x000EE46F,scrub,blocks\VZ\c30579_P000_Q3.block
0x00109310,path,blocks\VZ\resident_P000_Q3.block
0x0030C486,path,blocks\VZ\resident_P000_Q3.block
0x00312661,animation,blocks\VZ\characternameanimgroup_soldier_P000_Q3.block
0x00338D87,path,blocks\VZ\resident_P000_Q3.block
0x0035EC36,lowresterrain,blocks\VZ\low_res_terrain_P000_Q3.block
0x00380AB5,path,blocks\VZ\resident_P000_Q3.block
0x0039968B,path,blocks\VZ\resident_P000_Q3.block
0x00461E64,model,blocks\VZ\c33297_P000_Q3.block
0x00529F1C,lineregion,blocks\VZ\resident_P000_Q3.block
0x005381C4,animation,blocks\VZ\resident_P000_Q3.block
0x0057041A,terrainmesh,blocks\VZ\c31295_P000_Q3.block
0x0065370D,path,blocks\VZ\resident_P000_Q3.block
0x00700C19,animation,blocks\VZ\resident_P000_Q3.block
0x0076650A,lineregion,blocks\VZ\resident_P000_Q3.block
0x0084D2F2,animation,blocks\VZ\vehiclenameanimgroup_huangfeng_P000_Q3.block
0x0084EB31,path,blocks\VZ\resident_P000_Q3.block
0x0086E8BE,terrainmesh,blocks\VZ\c31228_P000_Q3.block
0x008E2A1B,animation,blocks\VZ\vehiclenameanimgroup_vanquish_P000_Q3.block
0x0091AE39,path,blocks\VZ\resident_P000_Q3.block
0x009288A3,path,blocks\VZ\resident_P000_Q3.block
0x009448EE,path,blocks\VZ\resident_P000_Q3.block
0x0095E56C,path,blocks\VZ\resident_P000_Q3.block
0x00A2F97B,path,blocks\VZ\resident_P000_Q3.block
0x00A59D03,animation,blocks\VZ\vehicleclassanimgroup_autosmall_P000_Q3.block
0x00A7703E,animation,blocks\VZ\vehicleclassanimgroup_hmmwv_P000_Q3.block
0x00B6DB30,path,blocks\VZ\resident_P000_Q3.block
0x00B97799,path,blocks\VZ\resident_P000_Q3.block
0x00BDA5FB,animation,blocks\VZ\vehiclenameanimgroup_ztz98_P000_Q3.block
