hash,name,name_source,name_candidates,n_models,as_root,in_swit,as_leaf,anim_tracks,anim_skel,depth_min,depth_max,max_bbox,offset,states,example_models
0x86DE6639,pristine,rainbow,1,1161,1147,0,1161,0,0,0,1,390.71,0,,0x0045B675|0x007080F4|0x009E1117
0xB5D7712F,ruin,rainbow,1,1024,963,61,1001,0,0,0,1,350.52,0,break_piece,0x001616F7|0x0045B675|0x009E1117
0x206376F6,piece1a_pristine,rainbow,1,890,10,835,524,0,0,0,2,228.42,1,break_piece|intact,0x0077334E|0x00978EE4|0x01029B24
0x501D5FD7,piece1a,rainbow,1,829,7,0,8,0,0,0,1,211.35,1,static,0x0077334E|0x00978EE4|0x01029B24
0x8C314A58,piece1a_ruin,rainbow,1,737,0,746,12,0,0,1,2,138.59,0,break_piece|intact,0x0077334E|0x00978EE4|0x01029B24
0x1B385A41,piece1a_propdebris01,rainbow,1,353,0,354,348,0,0,2,3,88.89,1,break_piece|intact,0x00978EE4|0x0189C80A|0x019EDBFE
0x2136251C,piece1a_propdebris00,rainbow,1,349,0,350,342,0,0,2,5,57.61,1,break_piece|intact,0x00978EE4|0x01029B24|0x01DAB4AF
0x8DCB305A,piece1a_propdebris11,rainbow,1,337,0,338,297,0,0,3,3,55.14,1,break_piece|intact,0x00978EE4|0x0189C80A|0x019EDBFE
0x9930D1D6,piece1a_propdebris02,rainbow,1,316,0,316,311,0,0,3,3,67.89,1,break_piece|intact,0x00978EE4|0x01029B24|0x0189C80A
0xEFD28665,piece1a_propdebris12,rainbow,1,291,0,292,251,0,0,3,3,63.31,1,break_piece|intact,0x00978EE4|0x0189C80A|0x019EDBFE
0xFB33AAB3,piece1a_propdebris03,rainbow,1,283,0,283,279,0,0,3,3,67.73,1,break_piece|intact,0x00978EE4|0x01029B24|0x0189C80A
0x85CFA0F0,piece1a_propdebris13,rainbow,1,279,4,285,248,0,0,0,3,68.75,1,break_piece|intact,0x00978EE4|0x019EDBFE|0x019FE5AE
0x793FAA00,piece1a_propdebris04,rainbow,1,258,0,258,255,0,0,3,3,69.05,1,break_piece|intact,0x00978EE4|0x01029B24|0x0189C80A
0x07C3A1A3,piece1a_propdebris14,rainbow,1,248,0,248,215,0,0,3,3,50.60,1,break_piece|intact,0x00978EE4|0x019EDBFE|0x019FE5AE
0xA3422AB5,piece1a_propdebris05,rainbow,1,218,0,218,215,0,0,3,3,29.09,1,break_piece|intact,0x00978EE4|0x0189C80A|0x02FC21A1
0xE5C12D86,piece1a_propdebris15,rainbow,1,217,0,217,193,0,0,3,3,47.80,1,break_piece|intact,0x00978EE4|0x019EDBFE|0x019FE5AE
0x6FCD3FB7,piece1a_propdebris10,rainbow,1,208,0,208,204,0,0,3,3,56.82,1,break_piece|intact,0x00978EE4|0x0189C80A|0x019EDBFE
0x813B396A,piece1a_propdebris06,rainbow,1,205,0,205,201,0,0,3,3,23.64,1,break_piece|intact,0x00978EE4|0x0189C80A|0x02FC21A1
0xFAD780B2,slice1a_pristine,rainbow,1,202,0,187,29,0,0,1,2,244.29,0,break_piece|intact,0x036E4F11|0x0499A0F1|0x06D5DB5A
0x5E3BCF7B,slice1a,rainbow,1,187,0,0,0,0,0,1,1,0.03,0,static,0x036E4F11|0x0499A0F1|0x06D5DB5A
0xA33DAD87,piece1a_propdebris07,rainbow,1,186,0,186,183,0,0,3,3,24.15,1,break_piece|intact,0x00978EE4|0x0189C80A|0x02FC21A1
0x67C8B5F1,piece1a_propdebris16,rainbow,1,179,0,179,159,0,0,3,3,43.05,1,break_piece|intact,0x00978EE4|0x019EDBFE|0x04E1DED8
0x01226B04,piece1a_propdebris08,rainbow,1,173,0,173,170,0,0,3,3,26.76,1,break_piece|intact,0x00978EE4|0x0189C80A|0x02FC21A1
0x5D27E761,,,0,173,0,0,175,0,0,1,3,0.03,1,break_piece|intact|static,0x020E5BB4|0x036E4F11|0x04549112
0x255EAB53,,,0,172,0,172,0,0,0,2,4,53.03,1,break_piece|intact,0x0065B09D|0x02195587|0x02D1FC23
0x75F1F74D,,,0,172,0,172,3,0,0,1,3,43.92,1,break_piece|intact,0x0065B09D|0x02195587|0x02D1FC23
0x765CD254,,,0,172,0,0,0,0,0,1,3,0.03,0,static,0x0065B09D|0x02195587|0x02D1FC23
0x1B24D289,piece1a_propdebris09,rainbow,1,165,0,165,163,0,0,3,3,34.74,1,break_piece,0x00978EE4|0x0189C80A|0x02FC21A1
0x125C0227,hp_fx_light,rainbow,1,152,0,0,152,0,0,1,6,0.03,1,break_piece|intact|static,0x00978EE4|0x01B52044|0x020E5BB4
0xEDC5B74C,piece1a_propdebris17,rainbow,1,150,0,150,143,0,0,3,3,50.92,1,break_piece|intact,0x019FE5AE|0x056B331D|0x05D426D7
0x56055623,slice1b_pristine,rainbow,1,147,0,144,8,0,0,1,2,175.16,0,break_piece|intact,0x036E4F11|0x0499A0F1|0x06D5DB5A
0x443DE524,slice1b,rainbow,1,144,0,0,0,0,0,1,1,0.03,0,static,0x036E4F11|0x0499A0F1|0x06D5DB5A
0x6FB9B7FF,piece1a_propdebris18,rainbow,1,140,0,140,136,0,0,2,3,43.22,1,break_piece|intact,0x019FE5AE|0x056B331D|0x05D426D7
0xEBBF5043,,,0,139,0,0,141,0,0,1,3,0.03,1,break_piece|intact|static,0x00978EE4|0x036E4F11|0x04549112
0x4FDCA56A,slice1a_interior,rainbow,1,137,0,137,74,0,0,3,3,162.19,0,break_piece|intact,0x036E4F11|0x0499A0F1|0x06D5DB5A
0x671227EB,slice1b_interior,rainbow,1,134,0,134,74,0,0,3,3,162.45,0,break_piece|intact,0x036E4F11|0x0499A0F1|0x06D5DB5A
0xFAEFB386,bone_root,rainbow,2,132,4,0,1,6556,267,0,2,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x20F635D9,Bone_RBicep,rainbow,1,132,4,0,3,6549,266,0,7,0.39,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x23F6F598,Bone_RForearm,rainbow,1,132,4,0,5,6549,266,0,8,0.40,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x4C7733ED,Bone_Chest,rainbow,2,132,4,0,3,6549,266,0,5,0.58,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x66A26CFF,Bone_Spine2,rainbow,1,132,4,0,4,6549,266,0,4,0.44,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x705C4508,Bone_Head,rainbow,1,132,4,0,43,6549,266,0,7,0.56,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0xB2C9CE63,Bone_LBicep,rainbow,1,132,4,0,3,6549,266,0,7,0.39,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0xBEFC09A2,Bone_LForearm,rainbow,1,132,4,0,5,6549,266,0,8,0.38,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x24C5009C,Bone_Hips,rainbow,1,132,0,0,4,6492,266,1,3,0.59,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x0163705C,Bone_RShin,rainbow,1,132,4,0,4,6236,266,0,5,0.58,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x76853D12,Bone_LThigh,rainbow,1,132,0,0,0,6236,266,1,4,0.48,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0xA76C9842,Bone_LShin,rainbow,1,132,4,0,4,6236,266,0,5,0.58,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0xC2299AC4,Bone_RThigh,rainbow,1,132,4,0,0,6236,266,0,4,0.48,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x03719EEF,bone_lforearmroll,rainbow,1,131,0,0,134,6549,266,1,9,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x328C1F25,bone_rforearmroll,rainbow,1,131,0,0,134,6549,266,1,9,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0x5CA49BD8,bone_spine1,rainbow,2,131,4,0,0,6549,266,0,3,0.03,0,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0xA3A5094A,bone_lshoulder,rainbow,2,131,0,0,0,6549,266,1,6,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0xA6EFDD4F,bone_attach_chest,rainbow,1,131,0,0,130,6549,266,1,6,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0xBA8CA3A8,bone_rshoulder,rainbow,2,131,4,0,0,6549,266,0,6,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0xC187105B,bone_neck,rainbow,2,131,0,0,0,6549,266,1,6,0.30,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0xD34F7713,bone_rhand,rainbow,2,131,4,0,0,6549,266,0,9,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
0xEB6F1B2D,bone_lhand,rainbow,2,131,4,0,0,6549,266,0,9,0.03,1,static,0x01ED3D6F|0x03C70F0A|0x055E9085
