hash,candidate,class,models,shard_targets,shard_noise
0x6E249CBC,bone_hatchl,car,pmc_veh_car_panhard,396,0.776
0x6E249CBC,bone_hatchl,car,pmc_veh_car_panhard,396,0.776
0x6E249CBC,bone_hatchl,car,pmc_veh_car_panhard,396,0.776
0x6E249CBC,bone_hatchl,car,pmc_veh_car_panhard,396,0.776
0x6E249CBC,bone_hatchl,car,pmc_veh_car_panhard,396,0.776
0x6E249CBC,bone_hatchl,car,pmc_veh_car_panhard,396,0.776
0xEE3D6B22,bone_hatchr,car,pmc_veh_car_panhard,396,0.776
0xEE3D6B22,bone_hatchr,car,pmc_veh_car_panhard,396,0.776
0xEE3D6B22,bone_hatchr,car,pmc_veh_car_panhard,396,0.776
0xEE3D6B22,bone_hatchr,car,pmc_veh_car_panhard,396,0.776
0xEE3D6B22,bone_hatchr,car,pmc_veh_car_panhard,396,0.776
0xEE3D6B22,bone_hatchr,car,pmc_veh_car_panhard,396,0.776
