part,count
bone,256
hp,184
barreltip,34
wheel,31
snap,31
oilrig,31
a,25
r,22
b,20
l,20
hub,20
yaw,18
pitch,17
fx,17
massive,13
starter,13
seat,13
c,12
left,12
player,12
right,11
attach,10
fl,9
fr,8
rr,8
gun,8
archer,8
piece1b,8
top,7
rl,7
d,7
2x1,6
mouth,6
missile,6
ladder,6
bld,6
door,5
bottom,5
barrel,5
radar,5
roll,5
gunmount,5
shelleject,5
camera,4
drive,4
01,4
02,4
03,4
04,4
05,4
06,4
1x1,4
return,4
hellfire,4
flare,4
int,4
fueltanklargea,4
antenna,3
root,3
hatch,3
eyebrow,3
ml,3
mr,3
f,3
ciwsfl,3
ciwsfm,3
ciwsfr,3
ciwsrl,3
ciwsrr,3
tip,3
turret,3
dock,3
mv,3
piece1a,3
cranelargea,3
cranesmalla,3
tankmeda,3
piece1c,3
chest,2
lhand,2
rhand,2
center,2
cheek,2
cigar,2
lt,2
driver,2
eyeball,2
eyelid,2
front,2
bl,2
br,2
lb,2
1x2,2
e,2
corner,2
nose,2
pistol,2
cannon,2
mg,2
samfm,2
samrr,2
rudder,2
al01,2
al02,2
al04,2
missilel,2
missiler,2
rocket,2
ch01,2
ch02,2
ch04,2
gunner,2
exhaust,2
gr001,2
gr002,2
lifeboat,2
oc01,2
oc02,2
playera,2
pmc02,2
pmc03,2
helipadsmalla,2
ak47,1
backleft,1
backright,1
hipleft,1
hipright,1
backa,1
backb,1
backc,1
brow,1
chain,1
chain1,1
chair,1
chestleft,1
chestright,1
chute,1
crest,1
driverhatch,1
extend,1
flaga,1
flagb,1
flagc,1
flagd,1
flage,1
flap,1
frame,1
belly,1
fronta,1
frontb,1
frontc,1
grenade,1
hair,1
hair1,1
hair2,1
handlebars,1
head,1
head1,1
head2,1
head3,1
head4,1
hips,1
jaw,1
lbicep,1
lfootbone1,1
lfootbone2,1
lforearm,1
lforearmroll,1
lindex1,1
lindex2,1
lindex3,1
lmiddle1,1
lmiddle2,1
lmiddle3,1
lpinky1,1
lpinky2,1
lpinky3,1
lring1,1
lring2,1
lring3,1
lshin,1
lshoulder,1
lthigh,1
lthumb1,1
lthumb2,1
lthumb3,1
4x1,1
mid,1
neck,1
necklace,1
perception,1
pipes,1
propeller,1
rbicep,1
rfootbone1,1
rfootbone2,1
rforearm,1
rforearmroll,1
rifle,1
rindex1,1
rindex2,1
rindex3,1
rmiddle1,1
rmiddle2,1
rmiddle3,1
roller,1
rotate,1
rotor,1
rpinky1,1
rpinky2,1
rpinky3,1
rring1,1
rring2,1
rring3,1
rshin,1
rshoulder,1
rthigh,1
rthumb1,1
rthumb2,1
rthumb3,1
skinned,1
spine1,1
spine2,1
suspension,1
tail,1
tailgate,1
tailrotor,1
tongue,1
ub,1
l02,1
wires,1
sam,1
globalsrt,1
actionhijack,1
grenadeexplosion,1
asphalt,1
g,1
h,1
la,1
ra,1
rb,1
rcketlgl,1
rcketlgr,1
smlroktl,1
smlroktr,1
xrocketl,1
xrocketr,1
centerofmass,1
civilian,1
explosiona,1
explosiond,1
explosione,1
explosionf,1
explosioni,1
explosionj,1
explosionk,1
explosionl,1
explosionm,1
explosionn,1
jetexhaust,1
light,1
parachute,1
grapple,1
grenades,1
handset,1
health,1
hijack,1
maverick,1
menu,1
metal,1
mgl,1
minigun,1
monsterrtr,1
papershredder,1
phone,1
enter,1
fc,1
fm,1
rm,1
smg,1
smokestack,1
buildinga,1
buildingb,1
buildingc,1
buildingd,1
helipadlargea,1
catwalkb,1
scaffold,1
towerblowoutdiagonal,1
towerdrill,1
towerdrillpipesa,1
towerdrillpipesb,1
towerblowoutsmalla,1
att,1
pipeblowout,1
radiojammer,1
towerblowoutlargea,1
piece2a,1
piece2b,1
sportscar,1
truckbed,1
