model,node_idx,hash,parent,depth,wx,wy,wz,leaf,in_swit
0xE55C541A,0,0xE55C541A,,0,0.0000,0.0000,0.0000,1,0
0x2EF7E3C3,0,0xCBC1EB51,,0,0.0000,0.0000,0.0000,0,0
0x2EF7E3C3,1,0x31DB4F50,0xCBC1EB51,1,0.0000,0.0000,0.0000,1,0
0x2EF7E3C3,2,0xFAEFB386,0xCBC1EB51,1,0.0000,1.0648,-0.0250,0,0
0x2EF7E3C3,3,0x24C5009C,0xFAEFB386,2,0.0000,1.0648,-0.0250,0,0
0x2EF7E3C3,4,0x1C2E8837,0x24C5009C,3,-0.1748,1.0904,-0.0250,1,0
0x2EF7E3C3,5,0x629B2990,0x24C5009C,3,0.1748,1.0904,-0.0250,1,0
0x2EF7E3C3,6,0x76853D12,0x24C5009C,3,0.0859,0.9622,0.0025,0,0
0x2EF7E3C3,7,0xA76C9842,0x76853D12,4,0.1699,0.4920,0.0147,0,0
0x2EF7E3C3,8,0x1226F58D,0xA76C9842,5,0.2171,0.1187,-0.0543,0,0
0x2EF7E3C3,9,0x901F6D22,0x1226F58D,6,0.2448,0.0242,0.0612,1,0
0x2EF7E3C3,10,0xC2299AC4,0x24C5009C,3,-0.0859,0.9622,0.0025,0,0
0x2EF7E3C3,11,0x0163705C,0xC2299AC4,4,-0.1700,0.4920,0.0147,0,0
0x2EF7E3C3,12,0x3120671B,0x0163705C,5,-0.2171,0.1187,-0.0543,0,0
0x2EF7E3C3,13,0x97234644,0x3120671B,6,-0.2448,0.0242,0.0612,1,0
0x2EF7E3C3,14,0x5CA49BD8,0xFAEFB386,2,0.0000,1.0648,-0.0250,0,0
0x2EF7E3C3,15,0x66A26CFF,0x5CA49BD8,3,-0.0000,1.1485,-0.0347,0,0
0x2EF7E3C3,16,0x4C7733ED,0x66A26CFF,4,-0.0000,1.2325,-0.0295,0,0
0x2EF7E3C3,17,0x3846CB35,0x4C7733ED,5,-0.0844,1.3958,-0.1865,1,0
0x2EF7E3C3,18,0xDF2D0826,0x4C7733ED,5,0.0844,1.3958,-0.1865,1,0
0x2EF7E3C3,19,0xA6EFDD4F,0x4C7733ED,5,0.0000,1.2498,0.1388,1,0
0x2EF7E3C3,20,0xC187105B,0x4C7733ED,5,-0.0000,1.5470,-0.0528,0,0
0x2EF7E3C3,21,0x705C4508,0xC187105B,6,-0.0000,1.6585,-0.0362,1,0
0x2EF7E3C3,22,0xA3A5094A,0x4C7733ED,5,0.0630,1.5243,-0.0592,0,0
0x2EF7E3C3,23,0xB2C9CE63,0xA3A5094A,6,0.1754,1.4530,-0.0666,0,0
0x2EF7E3C3,24,0xBEFC09A2,0xB2C9CE63,7,0.3091,1.2032,-0.0494,0,0
0x2EF7E3C3,25,0x03719EEF,0xBEFC09A2,8,0.3933,1.0604,-0.0032,1,0
