index,parent_index,depth,hash,name,in_swit,state,tx,ty,tz,bbox_dx,bbox_dy,bbox_dz
0,,0,0x25FE00A7,ch_veh_boat_destroyer,0,static,0.0000,0.0000,0.0000,0.020,0.020,0.020
1,0,1,0x8B36C275,bone_frame,0,static,0.0000,0.0000,0.0000,0.020,0.020,0.020
2,1,2,0x6BCB7C64,,1,break_piece,0.0000,0.0000,0.0000,21.567,47.979,143.323
3,2,3,0x8B9C7080,,0,break_piece,-6.2759,19.1181,-47.5013,0.020,0.020,0.020
4,3,4,0xEF54FCC9,,1,break_piece,0.0000,0.0000,0.0000,3.680,1.301,3.146
5,4,5,0xAAA6C6C0,,1,break_piece,-0.0270,0.9199,1.4086,1.738,1.178,0.770
6,4,5,0xD4A94775,,1,break_piece,0.0270,0.6463,-0.7951,0.757,0.797,4.506
100,4,5,0x800A5E90,,0,break_piece,0.0000,0.0000,0.7476,0.020,0.020,0.020
101,4,5,0x5B74FF0F,,0,break_piece,0.0000,0.0000,0.0000,0.020,0.020,0.020
7,3,4,0x94E79B67,,1,intact,0.0000,0.0000,0.0000,0.020,0.020,0.020
8,7,5,0x2F88DC70,,0,intact,0.0000,0.0000,0.0000,4.606,2.708,6.410
9,8,6,0xDF0BF4A5,,0,intact,0.0000,0.3851,-0.3767,0.757,1.606,1.324
10,9,7,0xC54B3110,,0,intact,0.0270,0.2001,1.9368,0.404,0.420,2.565
102,9,7,0xA3A334F4,,0,intact,0.0270,0.3096,3.1510,0.020,0.020,0.020
11,2,3,0x2BA1E98E,,0,break_piece,6.3128,19.1181,-47.5013,0.020,0.020,0.020
12,11,4,0x5BBF7281,,1,intact,0.0000,0.0000,0.0000,0.020,0.020,0.020
13,12,5,0x0F3F085E,,0,intact,0.0000,0.0000,0.0000,4.606,2.708,6.410
14,13,6,0x76C1AF3B,,0,intact,0.0000,0.3851,-0.3767,0.757,1.606,1.324
15,14,7,0x2500937E,,0,intact,-0.0270,0.2001,-1.9368,0.404,0.420,2.565
103,14,7,0x823CF5E6,,0,intact,-0.0270,0.3096,-3.1510,0.020,0.020,0.020
16,11,4,0x8F31B507,,1,break_piece,0.0000,0.0000,0.0000,3.680,1.301,3.146
17,16,5,0xF70F1E2A,,1,break_piece,-0.0270,0.9199,1.4086,1.738,1.178,0.770
18,16,5,0x19119247,,1,break_piece,0.0270,0.6463,-0.7951,0.757,0.797,4.506
104,16,5,0x4124348E,,0,break_piece,0.0000,-0.0000,0.7323,0.020,0.020,0.020
105,16,5,0x14A966DD,,0,break_piece,0.0000,0.0000,0.0000,0.020,0.020,0.020
19,2,3,0x31479F74,,0,break_piece,-5.1934,22.1815,12.7599,0.020,0.020,0.020
20,19,4,0x39AC61F3,,1,intact,0.0000,0.0000,0.0000,0.020,0.020,0.020
21,20,5,0x32A90F04,,0,intact,0.0000,0.0000,0.0000,4.606,2.708,6.410
22,21,6,0xF4B640E9,,0,intact,0.0000,0.3851,0.3767,0.757,1.606,1.324
23,22,7,0x486A9A24,,0,intact,0.0270,0.2001,1.9368,0.404,0.420,2.565
106,22,7,0x1A5D5F78,,0,intact,0.0270,0.2001,3.1510,0.020,0.020,0.020
24,19,4,0x03D9BEED,,1,break_piece,0.0000,0.0000,0.0000,3.680,1.301,3.146
25,24,5,0xE098675C,,1,break_piece,0.0270,0.4619,-1.3899,1.738,1.178,0.770
26,24,5,0xDA9A9C81,,1,break_piece,0.0270,0.6463,0.9831,0.757,0.797,4.506
107,24,5,0x7D916D0C,,0,break_piece,-0.0212,0.3349,-0.6235,0.020,0.020,0.020
108,24,5,0x5C2FB99B,,0,break_piece,-0.0212,0.8411,-0.2321,0.020,0.020,0.020
27,2,3,0x1138628A,,0,break_piece,5.1340,22.1815,12.7599,0.020,0.020,0.020
28,27,4,0x8AB8A2C5,,1,intact,0.0000,0.0000,0.0000,0.020,0.020,0.020
29,28,5,0xD2E91F3A,,0,intact,0.0000,0.0000,0.0000,4.606,2.708,6.410
30,29,6,0xDCF6C277,,0,intact,0.0000,0.3851,0.3767,0.757,1.606,1.324
31,30,7,0x68AB73DA,,0,intact,0.0270,0.2001,1.9368,0.404,0.420,2.565
109,30,7,0x948D9162,,0,intact,0.0270,0.2001,3.1515,0.020,0.020,0.020
32,27,4,0x3DB0DBD3,,1,break_piece,0.0000,0.0000,0.0000,3.680,1.301,3.146
33,32,5,0x04EFC7DE,,1,break_piece,0.0270,0.4619,-1.3899,1.738,1.178,0.770
34,32,5,0x26F23BFB,,1,break_piece,0.0270,0.6463,0.9831,0.757,0.797,4.506
110,32,5,0xB0795F92,,0,break_piece,-0.0212,0.3934,-0.7892,0.020,0.020,0.020
111,32,5,0x4F640DE1,,0,break_piece,-0.0212,0.8411,-0.2321,0.020,0.020,0.020
35,2,3,0x309362E3,,0,break_piece,-0.0000,15.6531,28.3746,0.020,0.020,0.020
36,35,4,0x085C500A,,1,intact,0.0000,0.0000,0.0000,0.020,0.020,0.020
37,36,5,0xEE278FC3,,0,intact,0.0000,0.0000,0.0000,3.799,3.768,3.799
38,37,6,0xA56237F8,,0,intact,0.0000,1.9332,0.0000,2.745,1.845,2.940
112,38,7,0x6F60A2E5,,0,intact,-0.2857,-0.2488,1.7860,0.020,0.020,0.020
113,38,7,0x053B2B2E,,0,intact,-0.8623,-0.2488,1.7860,0.020,0.020,0.020
114,38,7,0x055DBD70,,0,intact,0.2910,-0.2488,1.7860,0.020,0.020,0.020
115,38,7,0xE756D271,,0,intact,0.8676,-0.2488,1.7860,0.020,0.020,0.020
116,38,7,0x0D594CDA,,0,intact,0.8676,0.2796,1.7860,0.020,0.020,0.020
117,38,7,0xEF5B5C37,,0,intact,0.2910,0.2796,1.7860,0.020,0.020,0.020
118,38,7,0x6D53D3CC,,0,intact,-0.2857,0.2796,1.7860,0.020,0.020,0.020
119,38,7,0x8751BE23,,0,intact,-0.8623,0.2796,1.7860,0.020,0.020,0.020
39,35,4,0xE4543ED4,,1,break_piece,0.0000,0.0000,0.0000,3.849,3.908,3.333
40,39,5,0x7E8DD91A,,1,break_piece,-1.7320,1.1414,0.0045,0.213,1.894,1.441
41,39,5,0x769249B0,,1,break_piece,0.8650,2.2105,-0.0042,0.506,0.743,2.901
42,39,5,0xE0952F25,,1,break_piece,0.2883,2.2105,-0.0042,0.506,0.743,2.901
120,39,5,0x27389EF7,,0,break_piece,0.4189,1.7661,0.0000,0.020,0.020,0.020
121,39,5,0x032B1FA8,,0,break_piece,0.4189,1.7661,0.0000,0.020,0.020,0.020
43,2,3,0x4AB45948,,0,break_piece,-0.0000,11.7544,42.2030,0.020,0.020,0.020
44,43,4,0xE55AA77F,,1,intact,0.0000,0.0000,0.0000,0.020,0.020,0.020
45,44,5,0x4A75C249,,0,intact,0.0000,0.0000,0.0000,5.039,5.004,5.333
46,45,6,0x385D503C,,0,intact,0.0000,2.1708,-0.1660,1.068,3.458,8.354
122,46,7,0x03157B3D,,0,intact,-0.0000,0.6315,7.7631,0.020,0.020,0.020
47,43,4,0xEBDB09D1,,1,break_piece,0.0000,0.0000,0.0000,5.353,4.903,7.011
48,47,5,0x843C43F2,,1,break_piece,-1.6666,3.8978,0.7351,1.744,1.414,2.773
49,47,5,0xA63EB80F,,1,break_piece,1.5465,3.9534,-0.8071,2.436,1.753,3.970
50,47,5,0x1C41B068,,1,break_piece,0.7957,2.9770,1.9626,0.511,3.159,2.152
51,47,5,0x0643CC5D,,1,break_piece,0.0405,2.5181,2.6609,1.204,1.444,8.914
123,47,5,0x8AA3FB5A,,0,break_piece,0.0000,1.1063,-0.2331,0.020,0.020,0.020
124,47,5,0x7EFCC879,,0,break_piece,0.0000,1.1063,-0.2331,0.020,0.020,0.020
125,47,5,0x8F675707,,0,break_piece,0.0000,2.5157,-0.9026,0.020,0.020,0.020
52,2,3,0x114C9E49,,0,break_piece,0.0000,0.0000,0.0000,0.020,0.020,0.020
53,52,4,0x9CF9C47A,,1,break_piece,0.0000,0.0000,0.0000,0.020,0.020,0.020
54,53,5,0x614F65DF,,1,break_piece,-9.4814,11.1827,4.7091,0.634,0.661,2.424
