name,pandemic_hash_m2_hex,pandemic_hash_m2_dec,is_vehicle,entry_index,value_hex,aux0_hex,aux1_hex
)?/0,0x9A66132C,2590380844,0,10099,0x000D6855,0x00002CB9,0x9A66132C
/8;t,0x83797F45,2205777733,0,46618,0x0010ECB8,0xFFFFFFFF,0x83797F45
01_pmc_hq_lz_playerone,0xB5C014A6,3049264294,0,57590,0x000D78EA,0xFFFFFFFF,0xB5C014A6
01_pmc_hq_parking,0x00797958,7960920,0,57629,0x0011AE4B,0x0000CB4F,0x00797958
02_oil_hq_lz_playerone,0xEA5E0F61,3932032865,0,57588,0x000C7447,0x000132FC,0xEA5E0F61
02_oil_hq_parking,0xEFD3706D,4023611501,0,57608,0x0011AE35,0xFFFFFFFF,0xEFD3706D
02_oil_talkbox_parking,0x63160DEF,1662389743,0,57631,0x0011AE4D,0x0000DE07,0x63160DEF
03_mar_airport_parking,0x4BFED466,1274991718,0,57609,0x0011AE36,0xFFFFFFFF,0x4BFED466
04_mer_white_parking,0x42042863,1107568739,0,57610,0x0011AE37,0x0000C4DD,0x42042863
05_gur_hq_lz_playerone,0xC362953C,3278017852,0,57593,0x000D78F3,0x00007939,0xC362953C
05_gur_hq_parking,0x9C7E0BC6,2625506246,0,57611,0x0011AE38,0x00003D9C,0x9C7E0BC6
06_gua_upperclass_parking,0x4321FBDB,1126300635,0,57612,0x0011AE39,0x0000D692,0x4321FBDB
07_all_hq_lz_playerone,0x7B749C1D,2071239709,0,57594,0x000D78F6,0x00008702,0x7B749C1D
07_all_hq_parking,0x442C6B49,1143761737,0,57613,0x0011AE3A,0xFFFFFFFF,0x442C6B49
08_pir_hq_lz_playerone,0x3109CD6E,822725998,0,57595,0x000D78F8,0x000083CB,0x3109CD6E
08_pir_hq_parking,0x4133B790,1093908368,0,57614,0x0011AE3C,0xFFFFFFFF,0x4133B790
08_pir_jet_parking,0xB1E32A1C,2984454684,0,57632,0x0011AE4E,0x0000D1FC,0xB1E32A1C
12_chi_hq_lz_playerone,0x95A09F48,2510331720,0,57596,0x000D7901,0x00008D2B,0x95A09F48
15_mar_altagracia_parking,0xBFEF769B,3220141723,0,57616,0x0011AE3E,0x0000AF3F,0xBFEF769B
16_mar_cambias_parking,0xDBE42E6F,3689164399,0,57617,0x0011AE3F,0x000015CC,0xDBE42E6F
17_gur_con053_parking,0x18FC08B4,419170484,0,57618,0x0011AE40,0x0000EC61,0x18FC08B4
18_gur_con052_parking,0x96D20514,2530346260,0,57619,0x0011AE41,0x00006ACA,0x96D20514
2 Seat Boat (Passenger),0x1F3E12D3,524161747,1,717,0x8000617D,0x00001237,0x1F3E12D3
2 Seat Car (Driver),0xF4DD3619,4108138009,0,52,0x80004647,0xFFFFFFFF,0xF4DD3619
2 Seat Car (Driver) (Civ),0x148B271E,344663838,0,62,0x80004741,0x00011469,0x148B271E
2 Seat Car (Driver) (Escort),0x847BC256,2222703190,0,4642,0x80009FC4,0x000015B4,0x847BC256
2 Seat Car (Driver) (Police),0x22DF2620,585049632,0,985,0x80006874,0xFFFFFFFF,0x22DF2620
2 Seat Car (Passenger),0x90401807,2420119559,0,53,0x80004648,0xFFFFFFFF,0x90401807
2 Seat Car (Passenger) (Escort),0x76AED190,1991168400,0,4643,0x80009FC5,0x000139FB,0x76AED190
2 Seat Copter (Driver),0xFDEF813A,4260331834,0,12,0x80002351,0x00011829,0xFDEF813A
2 Seat Copter (Driver) (Allied),0x93EC73B4,2481746868,0,36,0x80004386,0xFFFFFFFF,0x93EC73B4
2 Seat Copter (Driver) (Guerilla),0x9083B5FA,2424550906,0,1026,0x800068AE,0x00006982,0x9083B5FA
2 Seat Copter (Driver) (OC),0x8CF39D8D,2364775821,0,519,0x800056EA,0xFFFFFFFF,0x8CF39D8D
2 Seat Copter (Driver) (VZ),0x1255524F,307581519,0,513,0x800056E2,0x00008981,0x1255524F
2 Seat Copter (Gunner),0x92D3A017,2463342615,0,1077,0x80006A0F,0xFFFFFFFF,0x92D3A017
20_all_con050_parking,0xD29297E8,3532822504,0,57620,0x0011AE42,0xFFFFFFFF,0xD29297E8
21_all_con053_parking,0xEF72CDF0,4017278448,0,57621,0x0011AE43,0xFFFFFFFF,0xEF72CDF0
22_all_con052_parking,0x875EDF04,2271141636,0,57622,0x0011AE44,0x00001A84,0x875EDF04
23_chi_con050_parking,0x6BADBEDC,1806548700,0,57623,0x0011AE45,0x00004C5D,0x6BADBEDC
24_chi_con051_parking,0xAEE603D0,2934309840,0,57630,0x0011AE4C,0x000097F1,0xAEE603D0
25_chi_con053_parking,0xA5667491,2774955153,0,57624,0x0011AE46,0xFFFFFFFF,0xA5667491
27_pir_con051_parking,0xC7280B8C,3341290380,0,57625,0x0011AE47,0xFFFFFFFF,0xC7280B8C
28_pir_con052_parking,0xFC557766,4233459558,0,57626,0x0011AE48,0xFFFFFFFF,0xFC557766
29_oil_depot_parking,0x9F3A3AA5,2671393445,0,57627,0x0011AE49,0x00005521,0x9F3A3AA5
