vehicle_name,pandemic_hash_m2_hex,pandemic_hash_m2_dec,name_kind,lua_call_sources,example_files
AH1Z (Ewan),0xB8AE263B,3098420795,type,delivery,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
AMX30,0x36AEDE98,917429912,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
AMX30 AA,0x45D11D72,1171332466,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
AMX30 Elite,0x3F6EDBED,1064229869,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
AllJob002_04_Jeep01,0xB7EF5C84,3085917316,instance_label,named,docs/mercs2-luacd/src/vz/alljob002.lua
Alouette3 Attack (PR) (Ewan),0x5076A026,1349951526,type,delivery,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
Alouette3 Attack (VZ),0x0384A0EE,59023598,type,placed,docs/mercs2-luacd/src/vz/pmccon004.lua
Alouette3 Attack (VZ) (Ewan),0x76908A00,1989184000,type,delivery,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
Alouette3 Elite (Driver),0x34CE8229,885948969,instance_label,named,docs/mercs2-luacd/src/vz/pmccon003.lua
Alouette3 Elite (Ewan),0x5F7B68E4,1601923300,type,delivery,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
Alouette3 Superiority (Driver),0xC3E6EDC3,3286691267,type,spawn,docs/mercs2-luacd/src/vz/pmccon004.lua
Alouette3 Superiority (Ewan),0x63E0E84A,1675683914,type,delivery,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
Alouette3 Transport (PR) (Ewan),0x2EEC9423,787256355,type,delivery,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
Alouette3 Transport (PR) (Full),0xD41A4509,3558491401,type,delivery,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
Alouette3 Transport (VZ) (Ewan),0xEF9E6839,4020135993,type,delivery,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
Ambulance (Driver),0x26FA5C20,653941792,type,spawn,docs/mercs2-luacd/src/vz/chicon009.lua
Amx30 (Full),0x48B454BC,1219777724,type,spawn,docs/mercs2-luacd/src/vz/gurcon002.lua
BoatGunnerMan,0x88839842,2290325570,instance_label,named,docs/mercs2-luacd/src/vz/oilcon020.lua
Buggy (Hellfire),0x8E0908F1,2382956785,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
Buggy (PR),0x86835E18,2256756248,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
CarmonaHeli,0x9320F9D2,2468411858,instance_label,named,docs/mercs2-luacd/src/vz/pmccon003.lua
CarmonaJeep,0xA561F826,2774661158,instance_label,named,docs/mercs2-luacd/src/vz/pmccon003.lua
ChiCon008_ZTZ98,0xA8A8BEB3,2829631155,instance_label,named,docs/mercs2-luacd/src/vz/chicon008.lua
Chopper_PmcCon003_Bunker_ApproachEnc01,0x498C8EAC,1233948332,instance_label,named,docs/mercs2-luacd/src/vz/pmccon003.lua
Coanda Attack (Ewan),0xFDBB6BA9,4256918441,type,delivery,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
Coanda Gunship (Ewan),0x84E5AF7F,2229645183,type,delivery,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
Coanda Superiority (Ewan),0x011C5856,18634838,type,delivery,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
Coanda Transport,0x4925098C,1227164044,type,spawn,docs/mercs2-luacd/src/vz/allcon008.lua
Coanda Transport (Driver),0x44CF1B8B,1154423691,type,delivery,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
Coanda Transport (Ewan),0x8642C152,2252521810,type,delivery,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
Coanda Transport (Full),0x4DF1FD48,1307704648,type,delivery,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
DLC_M1A1,0x28F72787,687286151,type,cargo,docs/mercs2-dlc-luacd/src/dlctest01/dlctest01.lua
DSV Scout Vehicle,0x39870E26,965152294,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
EXT,0x26308AFA,640715514,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
EXT (GL),0xB60CD310,3054293776,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
Endriago (Attack) (Ewan),0x373FE88F,926935183,type,delivery,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
Endriago (Elite) (Ewan),0x52C22EBE,1388457662,type,delivery,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
Endriago (Superiority) (Ewan),0x7856D228,2018955816,type,delivery,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
GunningBoat,0x4D5DE165,1297998181,instance_label,named,docs/mercs2-luacd/src/vz/oilcon020.lua
Guntruck (OC),0x8730B849,2268117065,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
HMMWV (Armored) (50Cal),0x37905F6B,932208491,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
HMMWV (Armored) (GL),0x80B1B641,2159130177,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
HMMWV (Armored) (TOW),0x9B70EDF2,2607869426,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
HMMWV (Avenger),0xAAB4BBC1,2863971265,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
HMMWV (Softtop),0x1D5BDF68,492560232,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
JetCon001_AASite01_Jeep_Path,0x9CE4FD1F,2632252703,instance_label,named,docs/mercs2-luacd/src/vz/jetcon001.lua
JetCon001_BeachAssault_Tank01,0xA88D609E,2827837598,instance_label,named,docs/mercs2-luacd/src/vz/jetcon001.lua
JetCon001_Jeep_BunkerIsland,0x0CDF4A25,215960101,instance_label,named,docs/mercs2-luacd/src/vz/jetcon001.lua
JetCon001_Supply_AAJeep01,0x3646B301,910603009,instance_label,named,docs/mercs2-luacd/src/vz/jetcon001.lua
Ka29b (Driver),0xF3D88D83,4091055491,instance_label,named,docs/mercs2-dlc-luacd/src/dlc01/dlccopterdrop.lua;docs/mercs2-luacd/src/resident/mrxcopterdrop.lua
Ka29b (Ewan),0x92265E0A,2451987978,type,delivery,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
Ka29b (Full),0x0DB71EB0,230104752,type,delivery,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
LAVIII (25mm),0xCDC13EBD,3451993789,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
LAVIII (AD),0xA7F3F42B,2817782827,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
LAVIII (AT),0x965F28DB,2522818779,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
LAVIII (MEWSS),0x745AEC4D,1952115789,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
LAVIII (MGS),0x7E78EA99,2121853593,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
LAVIII (Minigun),0x7AADF15B,2058219867,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
Listening Post,0x5023CB6E,1344523118,type,cargo,docs/mercs2-luacd/src/resident/mrxoilcon002delivery.lua
M113 (GR),0xCE5E8D35,3462303029,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
M113 (VZ),0xC9900D64,3381661028,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
M113 (VZ) (Full),0x88D24F70,2295484272,type,spawn,docs/mercs2-luacd/src/vz/gurcon002.lua
M113 AA (GR),0xEBD1DEE5,3956399845,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
M113 AA (VZ),0x26D6AE34,651603508,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
M113 Jammer (VZ),0x5F15847E,1595245694,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
M113 Jammer (VZ) (Driver),0x63E36415,1675846677,type,placed,docs/mercs2-luacd/src/vz/gurcon001.lua
M151 (MG) (GR),0xA72B34B2,2804626610,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
M151 .50Cal (VZ),0xEEA87FED,4004020205,type,cargo;spawn,docs/mercs2-luacd/src/resident/mrxsupportdata.lua;docs/mercs2-luacd/src/vz/pmccon018.lua
M151 .50Cal (VZ) (Full),0x888F587F,2291095679,type,placed,docs/mercs2-luacd/src/vz/gurcon001.lua
M151 Softtop (GR),0x4411809C,1141997724,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
M151 Softtop (VZ),0xD68A30FD,3599380733,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
M1A2,0x0118204A,18358346,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
M2A3,0xAE0761D0,2919719376,type,cargo,docs/mercs2-luacd/src/resident/mrxsupportdata.lua
