model,group,range_count,slots,bones,verts,tris,state_mask
0x01ED3D6F,0,4,45,43,214,197,0x08
0x01ED3D6F,1,1,10,10,126,152,0x08
0x01ED3D6F,2,1,4,3,86,133,0x08
0x01ED3D6F,3,1,4,3,86,128,0x08
0x01ED3D6F,4,1,4,3,60,98,0x08
0x01ED3D6F,5,1,4,3,89,126,0x08
0x01ED3D6F,6,1,4,3,74,104,0x08
0x01ED3D6F,7,1,4,3,60,98,0x08
0x01ED3D6F,8,1,1,1,42,33,0x08
0x01ED3D6F,9,1,12,4,18,12,0x08
jungle_env_treesmall01,9,1,4,4,139,135,0x04
jungle_env_treesmall01,11,1,2,2,60,30,0x07
jungle_env_treesmall01,12,1,4,2,28,14,0x07
jungle_env_treesmall01,13,1,4,4,48,24,0x07
jungle_env_treesmall01,14,1,4,3,56,26,0x07
jungle_env_treesmall01,15,1,4,4,68,34,0x07
jungle_env_treesmall01,16,1,4,3,56,28,0x07
jungle_env_treesmall01,17,1,4,3,36,18,0x07
jungle_env_treesmall01,18,1,4,3,56,28,0x07
jungle_env_treesmall03,9,1,3,3,379,334,0x04
jungle_env_treesmall03,11,1,3,2,20,10,0x07
jungle_env_treesmall03,12,1,3,2,20,10,0x07
jungle_env_treesmall03,13,1,2,2,20,10,0x07
jungle_env_treesmall03,14,1,3,2,24,12,0x07
jungle_env_treesmall03,15,1,3,2,12,6,0x07
jungle_env_treesmall03,16,1,2,2,20,10,0x07
jungle_env_treesmall03,17,1,3,2,20,10,0x07
jungle_env_treesmall03,18,1,2,2,20,10,0x07
jungle_env_treesmall03,19,1,3,3,16,8,0x07
jungle_env_treesmall03,20,1,2,2,20,10,0x07
jungle_env_treesmall03,21,1,2,2,20,10,0x07
jungle_env_treesmall03,22,1,3,2,20,10,0x07
jungle_env_treesmall03,23,1,2,2,20,10,0x07
jungle_env_treesmall03,24,1,3,3,24,12,0x07
jungle_env_treesmall03,25,1,2,2,20,10,0x07
jungle_env_treesmall03,26,1,2,2,24,12,0x07
jungle_env_treesmall03,27,1,1,1,12,6,0x07
jungle_env_treesmall03,28,1,2,2,20,10,0x07
jungle_env_treesmall03,29,1,2,2,32,16,0x07
jungle_env_treesmall03,30,1,2,2,20,10,0x07
jungle_env_treesmall03,31,1,3,2,24,12,0x07
jungle_env_treesmall03,32,1,3,2,20,10,0x07
jungle_env_treesmall03,33,1,3,2,20,10,0x07
jungle_env_treesmall03,34,1,3,2,32,16,0x07
global_env_palmtreebend02,10,1,2,2,62,72,0x04
global_env_palmtreebend02,11,1,5,2,20,16,0x04
global_env_palmtreebend02,12,1,1,1,32,38,0x04
global_env_palmtreebend02,13,1,1,1,22,20,0x04
global_env_palmtreebend02,14,1,1,1,32,36,0x04
global_env_palmtreebend02,15,1,1,1,34,36,0x04
global_env_palmtreebend02,16,1,1,1,28,30,0x04
global_env_palmtreebend02,17,1,1,1,26,24,0x04
global_env_palmtreebend02,18,1,4,2,18,14,0x04
global_env_palmtreebend02,19,1,1,1,32,32,0x04
global_env_palmtreebend02,20,1,1,1,28,26,0x04
global_env_palmtreebend02,21,1,1,1,26,28,0x04
global_env_palmtreebend02,22,1,2,2,20,16,0x04
global_env_palmtreebend02,23,1,1,1,28,32,0x04
global_env_palmtreebend02,24,1,1,1,28,26,0x04
global_env_palmtreebend02,25,1,1,1,30,28,0x04
global_env_palmtreebend02,26,1,1,1,34,38,0x04
global_env_palmtreebend02,27,1,1,1,28,30,0x04
global_env_palmtreebend02,28,1,1,1,38,42,0x04
global_env_palmtreebend02,29,1,1,1,14,13,0x04
global_env_palmtreebend02,30,1,1,1,26,24,0x04
global_env_palmtreebend02,31,1,1,1,5,4,0x07
0x055E9085,0,4,45,44,248,214,0x08
0x055E9085,1,1,10,10,130,127,0x08
0x055E9085,2,1,4,3,100,160,0x08
0x055E9085,3,1,1,1,42,35,0x08
0x055E9085,4,1,4,3,164,271,0x08
0x055E9085,5,1,1,1,42,35,0x08
0x055E9085,6,1,4,3,127,190,0x08
0x055E9085,7,1,1,1,42,35,0x08
vz_hum_blanco,0,5,46,45,337,316,0x08
vz_hum_blanco,1,2,28,9,266,401,0x08
vz_hum_blanco,2,1,12,10,174,174,0x08
0x07FC456B,0,2,28,22,72,124,0x08
0x07FC456B,1,2,28,22,84,138,0x08
0x07FC456B,2,1,11,9,114,114,0x08
0x07FC456B,3,1,11,9,114,114,0x08
0x07FC456B,4,5,43,41,291,215,0x08
0x07FC456B,5,5,44,42,305,207,0x08
0x09139BCD,0,7,47,44,226,208,0x08
0x09139BCD,1,6,48,43,213,194,0x08
0x09139BCD,2,4,50,47,256,230,0x08
0x09139BCD,3,1,9,9,79,80,0x08
0x09139BCD,4,1,9,9,118,130,0x08
0x09139BCD,5,1,4,3,86,142,0x08
0x09139BCD,6,1,4,3,85,132,0x08
0x09139BCD,7,1,4,3,85,140,0x08
0x09139BCD,8,1,4,3,108,160,0x08
0x09139BCD,9,1,4,3,96,160,0x08
0x09139BCD,10,1,4,3,33,46,0x08
0x09139BCD,11,1,4,3,12,10,0x08
0x09139BCD,12,1,1,1,17,13,0x08
0x09139BCD,13,1,4,2,44,38,0x08
0x09139BCD,14,1,1,1,10,8,0x08
0x09139BCD,15,1,1,1,73,58,0x08
0x09139BCD,16,1,1,1,16,14,0x08
0x09139BCD,17,1,4,3,37,50,0x08
0x09139BCD,18,1,1,1,79,46,0x08
0x09139BCD,19,1,4,3,47,60,0x08
jungle_env_plantlarge01,6,1,4,4,63,51,0x08
jungle_env_plantlarge01,7,1,4,4,139,105,0x04
pmc_hum_mattias,0,1,6,2,72,60,0x01
pmc_hum_mattias,1,1,13,9,1680,2492,0x01
pmc_hum_mattias,2,1,6,2,214,188,0x01
pmc_hum_mattias,3,4,49,48,3392,9068,0x01
pmc_hum_mattias,4,1,33,27,3085,8460,0x01
pmc_hum_mattias,5,1,24,6,506,790,0x01
pmc_hum_mattias,6,1,28,2,67,38,0x01
pmc_hum_mattias,7,1,30,4,3223,3005,0x01
pmc_hum_mattias,8,1,22,13,133,244,0x01
