hash,name,category
0xAC990539,al_veh_truck_hmmwv_avenger,consonant-blob
0x0065B09D,al_veh_truck_hmmwv_armored,consonant-blob
0x59074E3D,hp_ruin_mlmlb,consonant-blob
0x5F4AC808,hp_ruin_mlmlb_pristine,consonant-blob
0xBB3C02BE,hp_ruin_mlmlb_ruin,consonant-blob
0xD2897F9F,hp_qbzlmg,consonant-blob
0xD038D631,al_veh_vtol_f35b,mixed-blob
0xB645EE21,al_veh_tank_m2a3,mixed-blob
0xCE77D4CB,al_veh_tank_m1a2,mixed-blob
0x994E1953,al_veh_helicopter_ah1z,mixed-blob
0xB98FB059,al_veh_tank_m2a3_m6,mixed-blob
0x00E01065,global_weapon_qbu88sniper,mixed-blob
0x036E4F11,city_bld_corner32x32b,mixed-blob
0x04549112,white_bld_segment16x16a,mixed-blob
0x06D5DB5A,city_bld_corner16x16a,mixed-blob
0x0D4FA498,global_weapon_c4water,mixed-blob
0x12732DD2,gr_veh_tank_m551sheridan,mixed-blob
0x140400C1,commercial_bld_segment8x8c,mixed-blob
0x14219A70,residential_bld_segment16x16b,mixed-blob
0x16497BF1,ch_veh_tank_plz45b,mixed-blob
0x1976B149,cumana_bld_corner32x32b,mixed-blob
0x199ABE01,residential_bld_corner16x16a,mixed-blob
0x19EAE783,caracasruins_bld_corner16x16b,mixed-blob
0x1A01CB9C,commercial_bld_segment8x8b,mixed-blob
0x1C793E11,city_bld_segment16x16b,mixed-blob
0x1CE8F54F,vz_veh_helicopter_mi35hind,mixed-blob
0x227708EC,city_bld_segment16x16c,mixed-blob
0x22CE9B7B,gr_veh_towed_m101a,mixed-blob
0x232B1C7C,commercial_bld_segment8x16e,mixed-blob
0x2BD9F929,city_bld_segment16x32d,mixed-blob
0x2DFE5F85,commercial_bld_segment16x16a,mixed-blob
0x3B4F3D70,vz_veh_towed_m101a,mixed-blob
0x3EBA9067,caracasruins_bld_corner32x32b,mixed-blob
0x4181A5E6,commercial_bld_corner8x16a,mixed-blob
0x448774F6,white_bld_corner16x16a,mixed-blob
0x45EC5734,maracaibo_bld_corner16x32a,mixed-blob
0x4AD0FB4E,cumana_bld_segment16x16a,mixed-blob
0x4E2B373E,white_bld_corner8x16b,mixed-blob
0x52BFCBFD,city_bld_segment32x32b,mixed-blob
0x551A0FF1,maracaibo_bld_corner32x32b,mixed-blob
0x594968AA,white_bld_segment8x16b,mixed-blob
0x65D46951,commercial_bld_corner8x8a,mixed-blob
0x68DD3165,city_bld_corner16x16b,mixed-blob
0x6AB0E73B,city_bld_segment32x32d,mixed-blob
0x6C7EE853,white_bld_corner8x8b,mixed-blob
0x72BEDBB0,global_weapon_m250cal_noammo,mixed-blob
0x74132706,residential_bld_segment16x16d,mixed-blob
0x76768012,caracasruins_bld_corner16x32a,mixed-blob
0x77A20DC0,residential_bld_corner16x16d,mixed-blob
0x7A06DFEA,commercial_bld_segment8x8d,mixed-blob
0x7B5059F5,white_bld_segment8x16a,mixed-blob
0x7E247FE5,residential_bld_segment16x16c,mixed-blob
0x7FEDC6AC,caracasruins_bld_corner16x16a,mixed-blob
0x80C357EC,ch_veh_tank_ztz63a,mixed-blob
0x80CE4CA3,city_bld_corner16x16d,mixed-blob
0x8166C6A6,city_bld_corner32x32a,mixed-blob
0x833030CA,commercial_bld_segment8x16c,mixed-blob
0x849972EE,global_weapon_c4land_projectile,mixed-blob
0x86A7C828,vz_veh_towed_zu23aa,mixed-blob
0x89D8DE72,global_veh_uh1huey,mixed-blob
0x8A7CD8F6,white_bld_corner8x8c,mixed-blob
0x8B73A257,city_bld_corner32x32d,mixed-blob
0x8CCEB4D8,white_bld_segment8x8a,mixed-blob
0x905B2A87,pmc_veh_helicopter_uh1huey,mixed-blob
0x928162BC,white_bld_corner8x8a,mixed-blob
0x94BD5660,caracasruins_bld_corner32x32a,mixed-blob
0x97933596,residential_bld_corner16x16b,mixed-blob
0x9A71B5A6,city_bld_segment16x16a,mixed-blob
0x9D2E1B21,commercial_bld_segment8x16d,mixed-blob
0xA1A48E75,residential_bld_corner16x16e,mixed-blob
0xA2EB5412,maracaibo_wall20m,mixed-blob
0xA532A4E7,commercial_bld_segment8x16b,mixed-blob
0xA9E17B48,city_bld_segment16x32a,mixed-blob
0xB993D852,al_veh_helicopter_mh53pavelow,mixed-blob
0xC3892E51,commercial_bld_corner8x16b,mixed-blob
0xC68EFD61,white_bld_corner16x16b,mixed-blob
0xC986F92C,commercial_bld_corner8x16c,mixed-blob
0xCC36A4EB,city_bld_corner16x32b,mixed-blob
0xD0B84392,city_bld_segment32x32a,mixed-blob
0xD0C7814B,commercial_bld_corner16x16a,mixed-blob
0xD3128786,maracaibo_bld_corner32x32a,mixed-blob
0xE01CE9F2,maracaibo_bld_segment32x32a,mixed-blob
0xE3CCE0E6,commercial_bld_corner8x8b,mixed-blob
0xF032F209,white_bld_corner8x16a,mixed-blob
0xF2391F54,city_bld_corner16x32a,mixed-blob
0xF3FF5133,commercial_bld_segment8x8a,mixed-blob
0xF445EE6D,city_bld_corner16x32d,mixed-blob
0xF6DEC8EA,ch_veh_helicopter_ka29b,mixed-blob
0xF87E087D,caracasruins_bld_corner16x32b,mixed-blob
0xF9960E73,residential_bld_corner16x16c,mixed-blob
0xFB356AE0,commercial_bld_segment8x16a,mixed-blob
0xFE1F3937,residential_bld_segment16x16a,mixed-blob
0xFEDA4BF0,city_bld_corner16x16c,mixed-blob
0x16516BB1,hp_m34wp,mixed-blob
0x619A3655,hp_mp5sd,mixed-blob
0x99552B1E,hp_pf97rocket,mixed-blob
0xBA884EDC,global_weapon_m21at1,mixed-blob
0x203D31C7,global_weapon_m86pdm1,mixed-blob
0x41855F7C,cumana_bld_segment32x32d1,mixed-blob
0xE9BAAC86,us_veh_aa__white_bld_segment8x8a_cargo,mixed-blob
0xAC8D937A,dlc_global_pickup_money25k,mixed-blob
0x47348438,dlc_global_pickup_money5k,mixed-blob
0xA341CC7A,dlc_global_pickup_money50k,mixed-blob
