readable,xbox_va,mangled,flags
"Kill",0x827aef70,"?Kill@@YAXPAUlua_State@@@Z",
"PblRedBlackNode::Kill",0x8310d800,"?Kill@PblRedBlackNode@@QAAXXZ",
"PblRef::Kill",0x82518c78,"?Kill@PblRef@@UAAXXZ",
"SetDamageState",0x8279e858,"?SetDamageState@@YAXPAUlua_State@@@Z",
"SpringFloat::ApplyForce",0x82691318,"?ApplyForce@SpringFloat@@QAAXM@Z",
"WSAIExecutionScene::AddVictim",0x82888058,"?AddVictim@WSAIExecutionScene@@QAAXPAVWSAIControllerActor@@@Z",
"WSAIProp::ApplyDamage",0x828a11c0,"?ApplyDamage@WSAIProp@@UAAXABVWSDamageDesc@@@Z",
"WSAIProp::Die",0x828a1288,"?Die@WSAIProp@@UAAXXZ",
"WSAnimatedObject::ApplyDamage",0x8242eec8,"?ApplyDamage@WSAnimatedObject@@UAAXABVWSDamageDesc@@@Z",
"WSAnimatedObject::ApplyHitDamage",0x8242ee80,"?ApplyHitDamage@WSAnimatedObject@@UAAXPAVWSDamageDesc@@@Z",
"WSAnimatedObject::Die",0x8242ee28,"?Die@WSAnimatedObject@@UAAXXZ",
"WSAnimatedProp::Die",0x8249ff38,"?Die@WSAnimatedProp@@UAAXXZ",
"WSAttrPtAttachable::Die",0x829a21e0,"?Die@WSAttrPtAttachable@@QAAXXZ",
"WSCinemaDamageState::SetDamageState",0x82a0d9b0,"?SetDamageState@WSCinemaDamageState@@AAAXXZ",
"WSCollisionObject::ApplyHitDamage",0x82472ad0,"?ApplyHitDamage@WSCollisionObject@@UAAXPAVWSDamageDesc@@@Z",
"WSDamageDebugRender::?1??Get::Fs_Me",0x83391298,"??__Fs_Me@?1??Get@WSDamageDebugRender@@SAAAV1@XZ@YAXXZ",
"WSDamageDebugRender::Get",0x825c05d0,"?Get@WSDamageDebugRender@@SAAAV1@XZ",
"WSDamageDebugRender::GetNextPart",0x826e8ca8,"?GetNextPart@WSDamageDebugRender@@QAAPAVWSDamageablePart@@PAV2@@Z",
"WSDamageDebugRender::GetPreviousPart",0x826e8b88,"?GetPreviousPart@WSDamageDebugRender@@QAAPAVWSDamageablePart@@PAV2@@Z",
"WSDamageDebugRender::HandleInput",0x826e8538,"?HandleInput@WSDamageDebugRender@@QAAXXZ",
"WSDamageDebugRender::PAUDamageReport::?$PblQueue::Clear",0x826e95f0,"?Clear@?$PblQueue@PAUDamageReport@WSDamageDebugRender@@$0BAA@@@QAAXXZ",tmpl
"WSDamageDebugRender::PAUDamageReport::?$PblQueue::IsFull",0x826e9668,"?IsFull@?$PblQueue@PAUDamageReport@WSDamageDebugRender@@$0BAA@@@QBA_NXZ",tmpl
"WSDamageDebugRender::PAUDamageReport::?$PblQueue::Itor",0x826e99d0,"??EItor@?$PblQueue@PAUDamageReport@WSDamageDebugRender@@$0BAA@@@QAAABV01@XZ",tmpl
