name,pandemic_hash_m2_hex,pandemic_hash_m2_dec,is_vehicle,entry_index,value_hex,aux0_hex,aux1_hex
2 Seat Boat (Passenger),0x1F3E12D3,524161747,1,717,0x8000617D,0x00001237,0x1F3E12D3
2 Seat Car (Driver),0xF4DD3619,4108138009,0,52,0x80004647,0xFFFFFFFF,0xF4DD3619
2 Seat Car (Driver) (Civ),0x148B271E,344663838,0,62,0x80004741,0x00011469,0x148B271E
2 Seat Car (Driver) (Escort),0x847BC256,2222703190,0,4642,0x80009FC4,0x000015B4,0x847BC256
2 Seat Car (Driver) (Police),0x22DF2620,585049632,0,985,0x80006874,0xFFFFFFFF,0x22DF2620
2 Seat Car (Passenger),0x90401807,2420119559,0,53,0x80004648,0xFFFFFFFF,0x90401807
2 Seat Car (Passenger) (Escort),0x76AED190,1991168400,0,4643,0x80009FC5,0x000139FB,0x76AED190
2 Seat Copter (Driver),0xFDEF813A,4260331834,0,12,0x80002351,0x00011829,0xFDEF813A
2 Seat Copter (Driver) (Allied),0x93EC73B4,2481746868,0,36,0x80004386,0xFFFFFFFF,0x93EC73B4
2 Seat Copter (Driver) (Guerilla),0x9083B5FA,2424550906,0,1026,0x800068AE,0x00006982,0x9083B5FA
2 Seat Copter (Driver) (OC),0x8CF39D8D,2364775821,0,519,0x800056EA,0xFFFFFFFF,0x8CF39D8D
2 Seat Copter (Driver) (VZ),0x1255524F,307581519,0,513,0x800056E2,0x00008981,0x1255524F
2 Seat Copter (Gunner),0x92D3A017,2463342615,0,1077,0x80006A0F,0xFFFFFFFF,0x92D3A017
3 Seat Car (Driver),0x2A00E898,704702616,0,9,0x8000234C,0x00011F1D,0x2A00E898
3 Seat Car (Driver) (Guerilla),0xE3E5DD4C,3823492428,0,59,0x80004734,0x0000A685,0xE3E5DD4C
3 Seat Car (Gunner RightFront),0xEAF6A00C,3942031372,0,721,0x80006189,0x0000F48A,0xEAF6A00C
3 Seat Car (Gunner),0x635DDFC9,1667096521,0,11,0x8000234F,0x00004B5B,0x635DDFC9
3 Seat Car (Passenger),0xABE6688C,2884003980,0,10,0x8000234D,0xFFFFFFFF,0xABE6688C
3ddecal_asphalt,0x29D0BDCB,701545931,0,6095,0x900001D6,0x00011FF1,0x29D0BDCB
3ddecal_brick,0xE893B9B5,3901995445,0,6088,0x900001CF,0xFFFFFFFF,0xE893B9B5
3ddecal_concrete_warm,0x3F637E01,1063484929,0,6091,0x900001D2,0x00002CF4,0x3F637E01
