hash,n_models,anim_tracks,in_swit,kind,example_parent_models
0x206376F6,890,0,835,destruction-piece,global_checkpointa|vzoutpost_bld_guardtower_pr
0x501D5FD7,829,0,0,model-root,global_checkpointa|vzoutpost_bld_guardtower_pr
0x8C314A58,737,0,746,destruction-piece,global_checkpointa|vzoutpost_bld_guardtower_pr
0x1B385A41,353,0,354,destruction-piece,vzoutpost_bld_guardtower_pr|outskirt_bld_market04
0x2136251C,349,0,350,destruction-piece,vzoutpost_bld_guardtower_pr|global_propanetanklargea
0x8DCB305A,337,0,338,destruction-piece,vzoutpost_bld_guardtower_pr|outskirt_bld_market04
0x9930D1D6,316,0,316,destruction-piece,vzoutpost_bld_guardtower_pr|global_propanetanklargea
0xEFD28665,291,0,292,destruction-piece,vzoutpost_bld_guardtower_pr|outskirt_bld_market04
0xFB33AAB3,283,0,283,destruction-piece,vzoutpost_bld_guardtower_pr|global_propanetanklargea
0x85CFA0F0,279,0,285,destruction-piece,vzoutpost_bld_guardtower_pr|global_billboard02
0x793FAA00,258,0,258,destruction-piece,vzoutpost_bld_guardtower_pr|global_propanetanklargea
0x07C3A1A3,248,0,248,destruction-piece,vzoutpost_bld_guardtower_pr|global_billboard02
0xA3422AB5,218,0,218,destruction-piece,vzoutpost_bld_guardtower_pr|outskirt_bld_market04
0xE5C12D86,217,0,217,destruction-piece,vzoutpost_bld_guardtower_pr|global_billboard02
0x6FCD3FB7,208,0,208,destruction-piece,vzoutpost_bld_guardtower_pr|outskirt_bld_market04
0x813B396A,205,0,205,destruction-piece,vzoutpost_bld_guardtower_pr|outskirt_bld_market04
0xFAD780B2,202,0,187,destruction-piece,city_bld_corner32x32b|docks_bld_warehousesmall
0x5E3BCF7B,187,0,0,mesh-node,city_bld_corner32x32b|docks_bld_warehousesmall
0xA33DAD87,186,0,186,destruction-piece,vzoutpost_bld_guardtower_pr|outskirt_bld_market04
0x67C8B5F1,179,0,179,destruction-piece,vzoutpost_bld_guardtower_pr|global_billboard02
0x01226B04,173,0,173,destruction-piece,vzoutpost_bld_guardtower_pr|outskirt_bld_market04
0x5D27E761,173,0,0,mesh-node,groutpost_bld_shackfuselage|city_bld_corner32x32b
0x255EAB53,172,0,172,destruction-piece,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0x75F1F74D,172,0,172,destruction-piece,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0x765CD254,172,0,0,mesh-node,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0x1B24D289,165,0,165,destruction-piece,vzoutpost_bld_guardtower_pr|outskirt_bld_market04
0xEDC5B74C,150,0,150,destruction-piece,maracaibo_obelisk|village_bld_food02
0x56055623,147,0,144,destruction-piece,city_bld_corner32x32b|docks_bld_warehousesmall
0x443DE524,144,0,0,mesh-node,city_bld_corner32x32b|docks_bld_warehousesmall
0x6FB9B7FF,140,0,140,destruction-piece,maracaibo_obelisk|village_bld_food02
0xEBBF5043,139,0,0,mesh-node,vzoutpost_bld_guardtower_pr|city_bld_corner32x32b
0x4FDCA56A,137,0,137,destruction-piece,city_bld_corner32x32b|docks_bld_warehousesmall
0x671227EB,134,0,134,destruction-piece,city_bld_corner32x32b|docks_bld_warehousesmall
0x8869E876,131,0,0,mesh-node,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0x8F27AA8C,123,0,123,destruction-piece,docks_bld_warehousesmall|industrial_bld_warehousesmall02
0xFE1F4EA3,119,0,119,destruction-piece,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0x688C4858,117,0,0,mesh-node,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0x0DB6DF22,115,0,115,destruction-piece,maracaibo_obelisk|village_bld_food02
0x2C3EDC3C,112,0,112,destruction-piece,0x0307555E|civ_veh_boat_dinghy
0x4119F5A8,112,0,112,destruction-piece,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0x663986DE,111,0,0,model-root,dlc01_speedcity_tinygeometry_tgr14_tgc17_0x0015570f|dlc01_dlccon002_race_tinygeometry_tgr14_tgc25_0x00155680
0x8BC21F85,110,0,110,destruction-piece,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0x98B76A82,103,0,103,destruction-piece,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0xD871B369,101,0,101,destruction-piece,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0xFA92EE23,101,0,101,destruction-piece,al_veh_truck_hmmwv_armored|civ_veh_truck_transport
0xBD7008F2,100,0,0,mesh-node,city_bld_corner16x16a|industrial_bld_warehousesmall02
