asset_hash	type_hash	type_name	scope	wad	row_index	block_index	block_path	lod_rungs	payload_bytes	payload_fnv1a64	verdict
0x07216AAB	0xFE0E8320	scaleformgfx	cross	shell.wad	0	17	blocks\Shell\resident_P000_Q3.block	1	5771	DF8CC12F00EC5DF4	IDENTICAL
0x07216AAB	0xFE0E8320	scaleformgfx	cross	vz.wad	3	3185	blocks\VZ\resident_P000_Q3.block	1	5771	DF8CC12F00EC5DF4	IDENTICAL
0x08DF88E2	0xFE0E8320	scaleformgfx	cross	shell.wad	509	17	blocks\Shell\resident_P000_Q3.block	1	6320	37D5C492D0B172FE	IDENTICAL
0x08DF88E2	0xFE0E8320	scaleformgfx	cross	vz.wad	27001	3185	blocks\VZ\resident_P000_Q3.block	1	6320	37D5C492D0B172FE	IDENTICAL
0x093F42E5	0x99E77ACE	font	cross	shell.wad	308	29	blocks\Shell\english_P000_Q3.block	1	4738	EC0D0FD039BCB6FE	IDENTICAL
0x093F42E5	0x99E77ACE	font	cross	vz.wad	16393	3419	blocks\VZ\english_P000_Q3.block	1	4738	EC0D0FD039BCB6FE	IDENTICAL
0x0D87C65D	0x42498680	script	cross	shell.wad	327	17	blocks\Shell\resident_P000_Q3.block	1	16882	256DBDCF8C9C32C4	IDENTICAL
0x0D87C65D	0x42498680	script	cross	vz.wad	17373	3185	blocks\VZ\resident_P000_Q3.block	1	16882	256DBDCF8C9C32C4	IDENTICAL
0x0F323243	0xF011157A	texture	cross	shell.wad	191	8	blocks\Shell\common_P000_Q3.block	1	16599	F8F3BC465AA53FC3	IDENTICAL
0x0F323243	0xF011157A	texture	cross	vz.wad	9890	3058	blocks\VZ\common_P000_Q3.block	1	16599	F8F3BC465AA53FC3	IDENTICAL
0x0F67AD36	0xF011157A	texture	cross	shell.wad	8	3	blocks\Shell\c32641_P000_Q3.block	1	2858	283BD450225B428C	IDENTICAL
0x0F67AD36	0xF011157A	texture	cross	vz.wad	643	2696	blocks\VZ\c33465_P000_Q3.block	1	2858	283BD450225B428C	IDENTICAL
