ExplosionFudge	0x017bc674	0x00bc4c9c
Explosive	0x017bcb24	0x00bc4d8c
FlareObject	0x017be514	0x00bc5484
HomingProjectile	0x017be6a4	0x00bc550c
HomingTarget	0x017be6f4	0x00bc5520
HomingWeapon	0x017be654	0x00bc54fc
Ignitor	0x017be2e4	0x00bc5400
InitialVelocity	0x017bc034	0x00bc4ad4
ProjectilePhysics	0x017bcbc4	0x00bc4dac
RuntimeAirstrikeAirplane	0x017bf234	0x00bc588c
RuntimeAirstrikeProjectile	0x017bf1e4	0x00bc5870
RuntimeAlternatingFire	0x017bece4	0x00bc571c
RuntimeExplosion	0x017bef64	0x00bc57d0
RuntimeFakeProjectile	0x017bedd4	0x00bc576c
RuntimeHomingProjectile	0x017bf734	0x00bc5a64
RuntimeHomingTarget	0x017bf784	0x00bc5a7c
RuntimeHomingWeapon	0x017bf6e4	0x00bc5a50
RuntimeIgnitor	0x017bf3c4	0x00bc594c
RuntimeLaserDesignator	0x017bf7d4	0x00bc5a90
RuntimeProjectile	0x017bed84	0x00bc5758
RuntimeProjectileThrown	0x017bee74	0x00bc5798
RuntimeVelocity	0x017bed34	0x00bc5748
RuntimeWeapon	0x017bec44	0x00bc56f4
RuntimeWeaponProjectile	0x017bec94	0x00bc5704
WeaponBarrel	0x017bc764	0x00bc4cd0
WeaponEffects	0x017bc6c4	0x00bc4cac
WeaponHint	0x017be384	0x00bc5414
WeaponProjectileBase	0x017bc7b4	0x00bc4ce0
WeaponRecoilVehicle	0x017bc714	0x00bc4cbc
WeaponScatter	0x017bc804	0x00bc4cf8
WeaponScope	0x017bcad4	0x00bc4d80
WeaponThrown	0x017bc9e4	0x00bc4d54
WeaponTrigger	0x017bca34	0x00bc4d64
WeaponUI	0x017bca84	0x00bc4d74
