CameraCarPreset	0x017bce44	0x00bc4e7c
CameraShake	0x017bce94	0x00bc4ed0
Carryable	0x017be794	0x00bc555c
EntranceParameters	0x017bd894	0x00bc5134
Equipment	0x017bcdf4	0x00bc4e3c
GrappleParameters	0x017be884	0x00bc55d4
HumanAnimationSet	0x017bcd54	0x00bc4e14
HumanAnimationSystem	0x017bcd04	0x00bc4dfc
HumanCameraModifier	0x017bcee4	0x00bc4edc
HumanInventory	0x017bde84	0x00bc52d8
ModelMixerProfile	0x017be744	0x00bc5548
RuntimeEntrance	0x017c0454	0x00bc5e74
RuntimeHeadLookAt	0x017bf374	0x00bc5914
RuntimeInventory	0x017bf414	0x00bc5974
RuntimeRiderCrawlExit	0x017bf554	0x00bc59c8
RuntimeRiderDiveEnter	0x017bf504	0x00bc59b0
RuntimeSeatPlayerUsable	0x017c04f4	0x00bc5e98
RuntimeVehicleCrawlExits	0x017bf5a4	0x00bc59e0
RuntimeVehicleInventory	0x017bf824	0x00bc5aa8
SeatParameters	0x017bd844	0x00bc5114
Usable	0x017c0224	0x00bba5d8
VehicleAnimationSet	0x017bcda4	0x00bc4e28
VehicleDisguiseScale	0x017bd614	0x00bc5098
