AnimationController	0x017c0094	0x00bc5d1c
BlobShadow	0x017be244	0x00bc53cc
ColorAnimation	0x017be564	0x00bc5490
EffectAiOccluder	0x017be474	0x00bc5454
EffectTemplate	0x017be424	0x00bc5434
Flammable	0x017be294	0x00bc53f4
LightAnimation	0x017be4c4	0x00bc5474
LightObject	0x017beb54	0x00bc5684
LocalizedName	0x017bd7a4	0x00bc50e8
MusicRegion	0x017be154	0x00bc5398
MusicSource	0x017be104	0x00bc538c
ObjectHint	0x017be334	0x00bc5408
ParticleEmitter	0x017bde34	0x00bc52c8
RedEffectComponent	0x017be3d4	0x00bc5420
Ribbon	0x017be8d4	0x00bc55e8
RtAlphaAnimation	0x017bfd74	0x00bc5c08
RtColorAnimation	0x017bfcd4	0x00bc5be0
RtCoverHint	0x017c0184	0x00bc5d74
RtLightAnimation	0x017bfc84	0x00bc5bcc
RtRedEffect	0x017bfb94	0x00bc5ba8
RtRibbon	0x017c0684	0x00bc5ee8
RtScaleAnimation	0x017bfd24	0x00bc5bf4
RtVFX	0x017bfbe4	0x00bc5bb4
RuntimeMusicRegion	0x017bf144	0x00bc5848
RuntimeSoundAmbience	0x017bf0f4	0x00bc5830
RuntimeSoundEffect	0x017bf0a4	0x00bc581c
RuntimeSoundRuinKey	0x017bf054	0x00bc5808
ScaleAnimation	0x017be5b4	0x00bc54a0
SoundAmbience	0x017be064	0x00bc536c
SoundEffect	0x017be014	0x00bc5360
SoundInterior	0x017be0b4	0x00bc537c
SoundRuinKey	0x017bdf24	0x00bc532c
Status	0x00cde79c	0x00b4e534
TerrainFade	0x017beb04	0x00bc5678
