BoundaryData	0x017bdcf4	0x00bc5288
CircleRegion	0x017bdc54	0x00bc526c
IntersectionToIntersection	0x017bd984	0x00bc5198
LaneData	0x017bd9d4	0x00bc51b4
LaneZeroDirection	0x017bda24	0x00bc51c0
LineRegion	0x017bdca4	0x00bc527c
LowResTerrainObject	0x017beba4	0x00bc5690
Model	0x017bffa4	0x00bc5cb0
ObjectMaterial	0x017bded4	0x00bc52e8
PathData	0x017bdd44	0x00bc5298
PointLocation	0x017bdac4	0x00bc51e4
RoadIntersection	0x017bea14	0x00bc5648
RtFlowControl	0x017bfdc4	0x00bc5c34
RtFlowCycleTimer	0x017bfe14	0x00bc5c44
RtGenericLOD	0x017c0774	0x00bc5f30
RtGenericLODProxy	0x017c07c4	0x00bc5f40
RtRoadIntersection	0x017bfe64	0x00bc5c58
RtSpeedLimit	0x017c06d4	0x00bc5ef4
RtTerrainChildren	0x017c0724	0x00bc5f04
RtTickDamage	0x017bfc34	0x00bc5bbc
RuntimeLayerId	0x017bf4b4	0x00bc59a0
SceneObject	0x017c0314	0x00bc5dc4
SpawnerAdjust	0x017c02c4	0x00bc5db4
SpeedLimit	0x017be924	0x00bc55f0
SphereRegion	0x017bda74	0x00bc51d4
SysPathIntersectionIndex	0x017c0404	0x00bc5e30
SysPathRoadIndex	0x017c03b4	0x00bc5e1c
TerrainGuidMappingHighResToLowRe	0x017c0364	0x00bc5df8
TerrainKey	0x017bdfc4	0x00bc5354
TerrainObject	0x017beab4	0x00bc5668
