Alarm	0x017bd434	0x00bc5018
BuildingDestruction	0x017bdde4	0x00bc52b4
CashValue	0x017bd754	0x00bc50dc
ContextAction	0x017bff54	0x00baa60c
ControlBinding	0x017c00e4	0x00bc5d30
DamageKey	0x017bdf74	0x00bc5348
DangerousBuilding	0x017bdb64	0x00bc5208
FactionMarker	0x017bd5c4	0x00bc5078
FactionValue	0x017bd7f4	0x00bc50f8
FactionZone	0x017bd664	0x00bb98c0
FlightNoise	0x017bcc14	0x00bc4dc0
Health	0x017bbf94	0x00bc49c0
HibernationControl	0x017bd1b4	0x00bc4fcc
LandingZone	0x017bd704	0x00bc50d0
NetCategoryInfo	0x017bebf4	0x00bc56a4
ObjectScript	0x017bdd94	0x00bc52a4
RtAlarm	0x017c01d4	0x00bc5d80
RtDamageFlags	0x017c0274	0x00bc5d88
RtFactionZone	0x017c0634	0x00bc5ed8
RuntimeAssetRef	0x017bef14	0x00bc57c0
RuntimeClaim	0x017bf5f4	0x00bc59fc
RuntimeFlightNoise	0x017bee24	0x00bc5784
RuntimeHealth	0x017befb4	0x00bc57e4
RuntimeHijackState	0x017c04a4	0x00bc5e84
RuntimeLastDamageApplied	0x017bf644	0x00bc5a20
RuntimeNodeHealth	0x017bf004	0x00bc57f4
RuntimeObjectiveMarker	0x017bf284	0x00bc58a8
RuntimeOwnerGuid	0x017bf194	0x00bc585c
RuntimeRope	0x017c0044	0x00bc5ccc
RuntimeScriptCallback	0x017bf2d4	0x00bc58c0
RuntimeScrub	0x017bf324	0x00bc58d8
RuntimeTerrainBound	0x017bff04	0x00bc5c9c
RuntimeTimer	0x017beec4	0x00bc57b0
ScrubObject	0x017bea64	0x00bc565c
StateMachine	0x017bd8e4	0x00bc5170
