hash	name	humanoid	verified
0xDF3B2FD1	global_weapon_tripodmount	1	1
0xEEAABF91	gr_hum_starter_1	1	1
0x39F47E08	pmc_hum_chris	1	1
0x77E59F1F	pmc_hum_chris_chickensuit	1	1
0x98C5EE9B	pmc_hum_chris_v2	1	1
0x76C37A7E	pmc_hum_chris_v3	1	1
0x80D4D35D	pmc_hum_chris_v4	1	1
0x15D89832	pmc_hum_jen	1	1
0xD9588A21	pmc_hum_jen_chickensuit	1	1
0xD0C6D545	pmc_hum_jen_v2	1	1
0xE6C4B950	pmc_hum_jen_v3	1	1
0xE8B7F083	pmc_hum_jen_v4	1	1
0xC6B57C66	pmc_hum_jen_v5	1	1
0x0BBA3066	pmc_hum_mattias	1	1
0xDFDF5B5D	pmc_hum_mattias_chickensuit	1	1
0x1DC4F961	pmc_hum_mattias_v2	1	1
0xA3C1FABC	pmc_hum_mattias_v3	1	1
0x25C98327	pmc_hum_mattias_v4	1	1
0x0F1C9C51	pmc_hum_mechanic	1	1
0xEE23F7E0	pr_hum_boss	1	1
0xE7562E13	vz_hum_solano	1	1
0x0CFE172D	caracas_walllong_pristine	0	1
0x30AB14E0	commercial_wallcorner_pristine	0	1
0x0C336A4B	commercial_walllong_pristine	0	1
0x472F6B7F	commercial_wallshort_pristine	0	1
0x92894A5C	docks_fishcage	0	1
0x1CE1675F	global_att_signnouturn	0	1
0x8FAE19F4	global_barrela	0	1
0x69AB9F8B	global_barrelb	0	1
0x07A8C6AE	global_barrelc	0	1
0x410AF029	global_barrelorange	0	1
0xF4A846E1	global_barricadea	0	1
0x6C2FA30F	global_boxa	0	1
0xE2329B68	global_boxb	0	1
0xCC34B75D	global_boxc	0	1
0x663C3B0C	global_bullettracer	0	1
0x516E145E	global_chairwooda	0	1
0xD977E4D2	global_chairwoode	0	1
0xC7609576	global_concretebarrier01	0	1
0xD1B791F9	global_drinkingfountain	0	1
0xE43A561C	global_env_bush01	0	1
0x20DA5502	global_env_rocksbeach02	0	1
0x02F17D0C	global_env_rocktall01	0	1
0x5F1CF60F	global_env_scrub03	0	1
0x294B9E7E	global_fencebarbed	0	1
0xDA6328D9	global_fencewoodpanel	0	1
0xC977839E	global_firehydrantred02	0	1
0xE700B8EE	global_flag_smallal	0	1
0xE2B57CFB	global_flag_wallgr	0	1
0x73C6BEB7	global_fruitboxa	0	1
0x43552C13	global_golfclub	0	1
0xF84AEB3C	global_locationmarker	0	1
0x9A0013C3	global_locker	0	1
0x40FF196A	global_objectivemarker	0	1
0xB6FE9827	global_parkinglota	0	1
0xC40DE75F	global_signcokea	0	1
0x2653B4DD	global_signstopa	0	1
0xEF1018E6	global_tablecafe	0	1
0x6670475F	global_tablechess	0	1
0x1FB95B74	global_tablefolding	0	1
0xD2A84161	global_tablemarket	0	1
0xB1EC0672	global_targetmarker	0	1
0xE86593FA	global_trashbag01	0	1
0x196896DC	global_tripwirefinish	0	1
0x7CC413C4	global_vendingmachine01	0	1
0x16C1349B	global_vendingmachine02	0	1
0x3EA94386	global_waterpuddle02	0	1
0x5B3B0BF5	global_weapon_amraam	0	1
0x83A15CF9	global_weapon_cruisemissile	0	1
0xF67B3FD5	global_weapon_daisycutter	0	1
0xBB034506	global_weapon_dshk	0	1
0x421B5FA3	global_weapon_ffarrocket	0	1
0x0097289B	global_weapon_gbu16	0	1
0x528A5A4B	global_weapon_grapplinghook	0	1
0xF799E10F	global_weapon_hellfire	0	1
0xBE5CA114	global_weapon_ied	0	1
0xC68A3A23	global_weapon_m21at	0	1
0x5B6F14FF	global_weapon_minigun	0	1
0x6FFFC2DF	global_weapon_moab	0	1
0x81758ACC	global_weapon_quad50	0	1
0xCE2AEFC3	global_weapon_recoilessrifle	0	1
0x076BED6B	global_weapon_rpg	0	1
0x93533353	global_weapon_rpgrocket	0	1
0xD1575ABB	global_weapon_sniperdragunov	0	1
0x80725FF4	global_weapon_stinger	0	1
0xC3A8A6AC	global_weapon_tow	0	1
0x0927AEBC	global_weapon_towtripod	0	1
0x64F25712	industrial_signgastall	0	1
0xEDF20B2C	industrial_trackstop	0	1
0x1DB09757	jungle_env_bushsmall03	0	1
0xF405EF93	jungle_env_plantsmall02	0	1
0x1203E036	jungle_env_plantsmall03	0	1
0x63079DCA	margarita_env_trench	0	1
0x5F6F6450	merida_bld_plazachurch	0	1
0x37E81895	merida_pmcautoshop_sportscar	0	1
0x17128250	merida_signa	0	1
0x01102117	merida_signb	0	1
0x9F0D483A	merida_signc	0	1
0x0C3B85E3	merida_universityfence	0	1
0xDF07DBFF	mountain_blastdoors_stitcher	0	1
0x75DB90E0	ocoutpost_hqbase	0	1
0x75BEFD49	ocoutpost_tablearmwrestling	0	1
0x191C53FB	pmcoutpost_coverflowerpot	0	1
0x7A4CEDB3	pmcoutpost_hq_door_entrance	0	1
0xFA91F7B7	pmcoutpost_hq_door_roof	0	1
0x7FD34E23	shanty_canvasshort	0	1
0x0FFDE8C8	shanty_env_bush01	0	1
0xF7F945D2	shanty_env_bush03	0	1
0x058CD8B8	shanty_polepower	0	1
0xC6937275	village_cota	0	1
0x11EA5D4A	village_lampcolemana	0	1
0x7E6BEF2C	village_prop_tentsmallpupa	0	1
